n,time(seconds)
1000,4e-06
2000,2.8e-05
3000,4.4e-05
4000,5.91e-05
5000,7.53e-05
6000,8.98e-05
7000,0.0001057
8000,0.0001204
9000,0.0001351
10000,0.0001775
11000,0.0001921
12000,0.0002067
13000,0.0002229
14000,0.000237
15000,0.0002512
16000,0.0002654
17000,0.0002795
18000,0.0002939
19000,0.0003081
20000,0.0004411
21000,0.0004598
22000,0.0004766
23000,0.0004931
24000,0.0005098
25000,0.0005264
26000,0.000543
27000,0.0005603
28000,0.0005772
29000,0.0005939
30000,0.0006105
31000,0.0006278
32000,0.0006445
33000,0.0006616
34000,0.0006781
35000,0.0006946
36000,0.0007119
37000,0.0007287
38000,0.0024132
39000,0.0024285
40000,0.0026428
41000,0.0026541
42000,0.0026644
43000,0.0026745
44000,0.0026849
45000,0.002695
46000,0.002705
47000,0.0027151
48000,0.002725
49000,0.0027351
50000,0.0027452
51000,0.0027552
52000,0.0027651
53000,0.0027751
54000,0.0027851
55000,0.0027952
56000,0.0028053
57000,0.0028153
58000,0.002823
59000,0.002833
60000,0.002843
61000,0.002853
62000,0.002863
63000,0.0028733
64000,0.0028832
65000,0.0028932
66000,0.0029034
67000,0.0029134
68000,0.0029243
69000,0.0029343
70000,0.0029442
71000,0.0029541
72000,0.002964
73000,0.0029744
74000,0.0029844
75000,0.0029946
76000,0.003007
77000,0.0030179
78000,0.0030295
79000,0.0030394
80000,0.0034503
81000,0.0034669
82000,0.0034773
83000,0.0034875
84000,0.0034976
85000,0.0035077
86000,0.0035178
87000,0.0035279
88000,0.0035378
89000,0.0035479
90000,0.0035578
91000,0.0035678
92000,0.0035779
93000,0.0035879
94000,0.0035981
95000,0.0036081
96000,0.0036181
97000,0.003628
98000,0.003638
99000,0.003648
100000,0.0036579
101000,0.0036682
102000,0.0036783
103000,0.0036884
104000,0.0036984
105000,0.0037086
106000,0.0037162
107000,0.0037262
108000,0.0037362
109000,0.0037463
110000,0.0037565
111000,0.0037666
112000,0.0037768
113000,0.0037868
114000,0.0037969
115000,0.0038069
116000,0.0038172
117000,0.0038272
118000,0.0038374
119000,0.0038475
120000,0.0038575
121000,0.0038677
122000,0.0038777
123000,0.0038876
124000,0.0038976
125000,0.0039076
126000,0.0039176
127000,0.0039277
128000,0.0039377
129000,0.0039478
130000,0.0039581
131000,0.003968
132000,0.003978
133000,0.0039883
134000,0.0039984
135000,0.0040084
136000,0.0040185
137000,0.0040285
138000,0.0040385
139000,0.0040484
140000,0.0040584
141000,0.0040683
142000,0.0040784
143000,0.0040883
144000,0.0040983
145000,0.0041082
146000,0.0041181
147000,0.0041281
148000,0.004138
149000,0.0041457
150000,0.0041556
151000,0.0041656
152000,0.0041756
153000,0.0041856
154000,0.0041955
155000,0.0042055
156000,0.0042156
157000,0.0042256
158000,0.0042356
159000,0.0042456
160000,0.005048
161000,0.0050595
162000,0.0050698
163000,0.0050798
164000,0.0050898
165000,0.0050998
166000,0.0051098
167000,0.0051199
168000,0.0051299
169000,0.0051399
170000,0.0051499
171000,0.00516
172000,0.0051703
173000,0.0051803
174000,0.0051904
175000,0.0052004
176000,0.0052103
177000,0.0052203
178000,0.0052303
179000,0.0052405
180000,0.0052505
181000,0.0052604
182000,0.0052704
183000,0.0052803
184000,0.0052904
185000,0.0053004
186000,0.0053104
187000,0.0053203
188000,0.0053303
189000,0.0053411
190000,0.0053558
191000,0.0053718
192000,0.0053832
193000,0.0053938
194000,0.0054039
195000,0.0054139
196000,0.0054239
197000,0.0054341
198000,0.0054441
199000,0.0054541
200000,0.0054641
201000,0.0054744
202000,0.0054846
203000,0.0054925
204000,0.0055024
205000,0.0055124
206000,0.0055227
207000,0.0055328
208000,0.0055428
209000,0.0055529
210000,0.0055629
211000,0.0055729
212000,0.005583
213000,0.0055931
214000,0.0056032
215000,0.0056132
216000,0.0056236
217000,0.0056336
218000,0.0056436
219000,0.0056537
220000,0.0056638
221000,0.0056738
222000,0.0056838
223000,0.0056938
224000,0.0057038
225000,0.0057138
226000,0.0057238
227000,0.0057337
228000,0.0057437
229000,0.0057537
230000,0.0057637
231000,0.0057738
232000,0.0057839
233000,0.0057941
234000,0.0058041
235000,0.005814
236000,0.005824
237000,0.0058339
238000,0.0058439
239000,0.005854
240000,0.0058641
241000,0.0058741
242000,0.0058842
243000,0.0058943
244000,0.0059043
245000,0.005912
246000,0.005922
247000,0.005932
248000,0.0059421
249000,0.0059522
250000,0.0059838
251000,0.0059959
252000,0.0060062
253000,0.0060162
254000,0.0060264
255000,0.0060364
256000,0.0060464
257000,0.0060564
258000,0.0060664
259000,0.0060768
260000,0.0060869
261000,0.0060969
262000,0.0061068
263000,0.0061169
264000,0.006127
265000,0.006137
266000,0.0061471
267000,0.006157
268000,0.0061671
269000,0.0061771
270000,0.0061871
271000,0.0061971
272000,0.0062072
273000,0.0062173
274000,0.0062273
275000,0.0062373
276000,0.0062476
277000,0.0062575
278000,0.0062676
279000,0.0062776
280000,0.0062876
281000,0.0062975
282000,0.0063076
283000,0.0063176
284000,0.0063279
285000,0.0063389
286000,0.0063492
287000,0.0063592
288000,0.0063672
289000,0.0063775
290000,0.0063879
291000,0.0063984
292000,0.0064085
293000,0.0064185
294000,0.0064285
295000,0.0064386
296000,0.0064485
297000,0.0064585
298000,0.0064684
299000,0.0064786
300000,0.0064886
301000,0.0064989
302000,0.0065089
303000,0.0065189
304000,0.006529
305000,0.006539
306000,0.0065491
307000,0.0065591
308000,0.0065691
309000,0.0065791
310000,0.0065892
311000,0.0065991
312000,0.0066092
313000,0.0066194
314000,0.0066295
315000,0.0066395
316000,0.0066496
317000,0.0066596
318000,0.0066697
319000,0.0066798
320000,0.0082193
321000,0.0082309
322000,0.0082409
323000,0.0082506
324000,0.0082604
325000,0.0082702
326000,0.0082802
327000,0.0082899
328000,0.0082997
329000,0.0083094
330000,0.0083195
331000,0.0083293
332000,0.0083399
333000,0.0083499
334000,0.00836
335000,0.0083698
336000,0.0083796
337000,0.0083894
338000,0.0083992
339000,0.0084089
340000,0.0084186
341000,0.0084284
342000,0.0084381
343000,0.0084479
344000,0.0084576
345000,0.0084673
346000,0.0084771
347000,0.0084868
348000,0.0084966
349000,0.0085063
350000,0.0085161
351000,0.0085257
352000,0.0085332
353000,0.008543
354000,0.0085529
355000,0.0085629
356000,0.0085726
357000,0.0085824
358000,0.0085922
359000,0.0086021
360000,0.0086118
361000,0.0086214
362000,0.0086312
363000,0.008641
364000,0.0086507
365000,0.0086606
366000,0.0086703
367000,0.0086801
368000,0.0086898
369000,0.0086995
370000,0.0087093
371000,0.0087194
372000,0.0087292
373000,0.0087392
374000,0.0087492
375000,0.008759
376000,0.0087692
377000,0.0087789
378000,0.0087887
379000,0.0087985
380000,0.0088082
381000,0.008818
382000,0.0088278
383000,0.0088375
384000,0.0088473
385000,0.0088571
386000,0.0088669
387000,0.0088766
388000,0.0088864
389000,0.0088963
390000,0.008906
391000,0.0089157
392000,0.0089255
393000,0.0089354
394000,0.0089452
395000,0.0089528
396000,0.0089628
397000,0.0089739
398000,0.0089849
399000,0.0089945
400000,0.009004
401000,0.0090137
402000,0.0090234
403000,0.009033
404000,0.0090426
405000,0.0090523
406000,0.0090621
407000,0.0090717
408000,0.0090815
409000,0.009091
410000,0.0091006
411000,0.0091103
412000,0.0091198
413000,0.0091294
414000,0.0091391
415000,0.0091488
416000,0.0091584
417000,0.0091679
418000,0.0091775
419000,0.009187
420000,0.0091966
421000,0.0092062
422000,0.0092157
423000,0.0092255
424000,0.0092351
425000,0.0092446
426000,0.0092541
427000,0.0092639
428000,0.0092736
429000,0.0092831
430000,0.0092926
431000,0.0093021
432000,0.0093117
433000,0.0093213
434000,0.0093308
435000,0.0093415
436000,0.0093512
437000,0.0093588
438000,0.0093688
439000,0.0093786
440000,0.0093882
441000,0.0093978
442000,0.0094074
443000,0.0094171
444000,0.0094266
445000,0.0094363
446000,0.0094459
447000,0.0094556
448000,0.0094653
449000,0.0094749
450000,0.0094845
451000,0.0094941
452000,0.0095039
453000,0.0095135
454000,0.0095234
455000,0.009533
456000,0.0095428
457000,0.0095523
458000,0.0095621
459000,0.0095717
460000,0.0095818
461000,0.0095916
462000,0.0096013
463000,0.0096109
464000,0.0096206
465000,0.0096303
466000,0.0096399
467000,0.0096495
468000,0.0096592
469000,0.0096688
470000,0.0096789
471000,0.0096884
472000,0.009698
473000,0.0097076
474000,0.0097173
475000,0.0097268
476000,0.0097364
477000,0.009746
478000,0.0097559
479000,0.0097655
480000,0.009773
481000,0.0097826
482000,0.0097923
483000,0.0098019
484000,0.0098116
485000,0.0098213
486000,0.0098309
487000,0.0098405
488000,0.0098502
489000,0.00986
490000,0.0098697
491000,0.0098792
492000,0.0099058
493000,0.0099168
494000,0.0099266
495000,0.0099364
496000,0.009946
497000,0.0099561
498000,0.0099666
499000,0.009978
500000,0.0099891
501000,0.0099997
502000,0.0100093
503000,0.0100189
504000,0.0100285
505000,0.0100383
506000,0.0100479
507000,0.0100574
508000,0.010067
509000,0.010077
510000,0.0100866
511000,0.0100963
512000,0.0101059
513000,0.0101157
514000,0.0101254
515000,0.0101351
516000,0.0101447
517000,0.0101545
518000,0.0101641
519000,0.0101738
520000,0.0101834
521000,0.0101933
522000,0.0102029
523000,0.0102103
524000,0.0102199
525000,0.0102296
526000,0.0102392
527000,0.0102488
528000,0.0102586
529000,0.0102683
530000,0.0102779
531000,0.0102875
532000,0.0102973
533000,0.0103069
534000,0.0103165
535000,0.0103264
536000,0.0103361
537000,0.0103468
538000,0.0103564
539000,0.010366
540000,0.0103759
541000,0.010386
542000,0.0103957
543000,0.0104057
544000,0.0104154
545000,0.010425
546000,0.0104348
547000,0.0104447
548000,0.0104544
549000,0.010464
550000,0.0104737
551000,0.0104835
552000,0.0104931
553000,0.0105028
554000,0.0105126
555000,0.0105225
556000,0.010532
557000,0.0105417
558000,0.0105512
559000,0.010561
560000,0.0105706
561000,0.0105804
562000,0.0105901
563000,0.0105997
564000,0.0106093
565000,0.0106167
566000,0.0106266
567000,0.0106365
568000,0.0106462
569000,0.0106558
570000,0.0106654
571000,0.010675
572000,0.0106846
573000,0.0106942
574000,0.0107047
575000,0.0107147
576000,0.0107243
577000,0.0107339
578000,0.0107436
579000,0.0107532
580000,0.0107628
581000,0.0107724
582000,0.010782
583000,0.0107916
584000,0.0108013
585000,0.0108108
586000,0.0108205
587000,0.0108301
588000,0.0108396
589000,0.0108493
590000,0.0108589
591000,0.0108685
592000,0.0108781
593000,0.0108878
594000,0.0108976
595000,0.0109072
596000,0.0109168
597000,0.0109264
598000,0.0109364
599000,0.010946
600000,0.0109558
601000,0.0109653
602000,0.0109752
603000,0.0109848
604000,0.0109943
605000,0.011004
606000,0.0110136
607000,0.0110231
608000,0.0110306
609000,0.0110404
610000,0.0110501
611000,0.0110597
612000,0.0110693
613000,0.0110792
614000,0.0110888
615000,0.0110984
616000,0.011108
617000,0.0111177
618000,0.0111274
619000,0.011137
620000,0.0111465
621000,0.0111561
622000,0.0111657
623000,0.0111753
624000,0.0111849
625000,0.0111946
626000,0.0112043
627000,0.0112138
628000,0.0112236
629000,0.0112332
630000,0.0112428
631000,0.0112525
632000,0.0112621
633000,0.0112716
634000,0.0112812
635000,0.0112911
636000,0.0113008
637000,0.0113106
638000,0.0113201
639000,0.0113298
640000,0.014345
641000,0.0143568
642000,0.0143665
643000,0.0143761
644000,0.0143865
645000,0.0143962
646000,0.0144062
647000,0.0144159
648000,0.0144255
649000,0.0144353
650000,0.014445
651000,0.0144524
652000,0.014462
653000,0.0144716
654000,0.0144812
655000,0.0144908
656000,0.0145004
657000,0.0145103
658000,0.0145199
659000,0.0145296
660000,0.0145392
661000,0.0145491
662000,0.0145589
663000,0.0145686
664000,0.0145782
665000,0.0145879
666000,0.0145976
667000,0.0146077
668000,0.0146174
669000,0.0146271
670000,0.0146368
671000,0.0146465
672000,0.0146568
673000,0.0146665
674000,0.0146762
675000,0.0146858
676000,0.0146955
677000,0.0147052
678000,0.0147149
679000,0.0147247
680000,0.0147344
681000,0.014744
682000,0.0147538
683000,0.0147634
684000,0.014773
685000,0.0147827
686000,0.0147923
687000,0.0148021
688000,0.0148117
689000,0.0148214
690000,0.0148311
691000,0.0148408
692000,0.0148504
693000,0.0148602
694000,0.0148676
695000,0.0148774
696000,0.0148869
697000,0.0148966
698000,0.0149063
699000,0.0149159
700000,0.0149256
701000,0.0149354
702000,0.014945
703000,0.0149548
704000,0.0149644
705000,0.014974
706000,0.0149837
707000,0.0149933
708000,0.015003
709000,0.0150128
710000,0.0150225
711000,0.0150324
712000,0.0150421
713000,0.015052
714000,0.0150617
715000,0.0150717
716000,0.0150813
717000,0.015091
718000,0.0151007
719000,0.0151114
720000,0.0151212
721000,0.0151309
722000,0.0151406
723000,0.0151504
724000,0.0151601
725000,0.0151698
726000,0.0151795
727000,0.0151891
728000,0.0151988
729000,0.0152086
730000,0.0152182
731000,0.0152279
732000,0.0152375
733000,0.0152471
734000,0.0152569
735000,0.0152678
736000,0.0152762
737000,0.0152863
738000,0.0152963
739000,0.0153063
740000,0.0153165
741000,0.0153266
742000,0.0153375
743000,0.0153474
744000,0.0153575
745000,0.0153684
746000,0.0153786
747000,0.0153885
748000,0.0153985
749000,0.0154086
750000,0.0154185
751000,0.0154286
752000,0.0154385
753000,0.0154485
754000,0.0154585
755000,0.0154685
756000,0.0154787
757000,0.0154886
758000,0.0154988
759000,0.0155094
760000,0.0155193
761000,0.0155297
762000,0.01554
