n, time(seconds)
1000,1.64e-05
2000,4.87e-05
3000,7.57e-05
4000,0.0001023
5000,0.0001289
6000,0.0001556
7000,0.000182
8000,0.0002084
9000,0.0002348
10000,0.0002613
11000,0.0002877
12000,0.0003146
13000,0.0003409
14000,0.0003673
15000,0.0003937
16000,0.0004201
17000,0.0004464
18000,0.0004727
19000,0.0004992
20000,0.0005254
21000,0.0005517
22000,0.000578
23000,0.0006043
24000,0.0006307
25000,0.0006573
26000,0.0006836
27000,0.0007099
28000,0.0007363
29000,0.0007625
30000,0.0007889
31000,0.0008152
32000,0.0008439
33000,0.0008738
34000,0.0009024
35000,0.0009288
36000,0.0009565
37000,0.0012877
38000,0.0013153
39000,0.0013359
40000,0.0013561
41000,0.0013762
42000,0.0013963
43000,0.0014164
44000,0.0014363
45000,0.0014563
46000,0.0014764
47000,0.0014964
48000,0.0015164
49000,0.0015364
50000,0.0015564
51000,0.0015764
52000,0.0015964
53000,0.0016164
54000,0.0016363
55000,0.0016564
56000,0.0016764
57000,0.0016964
58000,0.0017163
59000,0.0017368
60000,0.0017568
61000,0.0017771
62000,0.0017971
63000,0.0018172
64000,0.0018373
65000,0.0018586
66000,0.00188
67000,0.0019002
68000,0.0019201
69000,0.0019412
70000,0.0019615
71000,0.0019814
72000,0.0020016
73000,0.0020218
74000,0.0020416
75000,0.0020615
76000,0.0020814
77000,0.0021012
78000,0.0021211
79000,0.002141
80000,0.0021609
81000,0.0021808
82000,0.0022006
83000,0.002221
84000,0.0022408
85000,0.0022607
86000,0.0022805
87000,0.0023004
88000,0.0023203
89000,0.0023401
90000,0.00236
91000,0.0023799
92000,0.0023998
93000,0.0024196
94000,0.0024395
95000,0.0024594
96000,0.0024793
97000,0.0024991
98000,0.002519
99000,0.0025388
100000,0.0025587
101000,0.0025786
102000,0.0025985
103000,0.0026183
104000,0.0026383
105000,0.0026582
106000,0.002678
107000,0.002698
108000,0.0027179
109000,0.0027377
110000,0.0027576
111000,0.0027774
112000,0.0027984
113000,0.0028197
114000,0.0028394
115000,0.0028591
116000,0.0028788
117000,0.0028985
118000,0.0029183
119000,0.0029388
120000,0.0029586
121000,0.0029786
122000,0.0029984
123000,0.0030181
124000,0.0030378
125000,0.0030576
126000,0.0030773
127000,0.0030971
128000,0.0031172
129000,0.0031369
130000,0.0031567
131000,0.0031765
132000,0.0031963
133000,0.0032161
134000,0.0032359
135000,0.0032557
136000,0.0032755
137000,0.0032952
138000,0.003315
139000,0.0033347
140000,0.0033545
141000,0.0033742
142000,0.003394
143000,0.0034139
144000,0.0034337
145000,0.0034536
146000,0.0034734
147000,0.0034931
148000,0.003513
149000,0.0035327
150000,0.0035524
151000,0.0035721
152000,0.0035919
153000,0.0036116
154000,0.0036314
155000,0.0036511
156000,0.003671
157000,0.0036909
158000,0.0037106
159000,0.0037304
160000,0.0037503
161000,0.00377
162000,0.0037898
163000,0.0038096
164000,0.0038293
165000,0.003849
166000,0.0038688
167000,0.0038885
168000,0.0039083
169000,0.003928
170000,0.0039508
171000,0.0039714
172000,0.0039916
173000,0.0040114
174000,0.0040315
