n,time(seconds)
1000,2.67e-05
2000,9.59e-05
3000,0.0001149
4000,0.0001351
5000,0.0001521
6000,0.0001691
7000,0.0001878
8000,0.0002048
9000,0.0002214
10000,0.0002386
11000,0.0003086
12000,0.0003262
13000,0.0003426
14000,0.000359
15000,0.0003768
16000,0.0003963
17000,0.000415
18000,0.0004329
19000,0.0004495
20000,0.0004669
21000,0.0005887
22000,0.0006083
23000,0.0006257
24000,0.0006426
25000,0.0006592
26000,0.0006754
27000,0.0006918
28000,0.0007081
29000,0.0007242
30000,0.0007403
31000,0.0009239
32000,0.0009439
33000,0.0009618
34000,0.0009783
35000,0.0009946
36000,0.0010109
37000,0.0010272
38000,0.001121
39000,0.0011335
40000,0.0011436
41000,0.001365
42000,0.0013778
43000,0.001386
44000,0.0014006
45000,0.0014115
46000,0.0014232
47000,0.0014349
48000,0.0014457
49000,0.001456
50000,0.0014659
51000,0.0017349
52000,0.0017468
53000,0.001757
54000,0.0017672
55000,0.0017778
56000,0.0017878
57000,0.0017977
58000,0.0018075
59000,0.0018174
60000,0.0018273
61000,0.002146
62000,0.0021582
63000,0.0021685
64000,0.002179
65000,0.0021894
66000,0.0021992
67000,0.0022092
68000,0.002219
69000,0.0022289
70000,0.0022388
71000,0.0026109
72000,0.0026231
73000,0.0026333
74000,0.0026444
75000,0.0026544
76000,0.0026644
77000,0.0026744
78000,0.0026843
79000,0.0026942
80000,0.0027041
81000,0.0031151
82000,0.003127
83000,0.0031371
84000,0.0031471
85000,0.003157
86000,0.0031647
87000,0.0031747
88000,0.0031849
89000,0.0031952
90000,0.0032056
91000,0.0036804
92000,0.0036947
93000,0.003705
94000,0.0037155
95000,0.0037255
96000,0.0037352
97000,0.0037451
98000,0.003755
99000,0.0037649
100000,0.003776
101000,0.0042939
102000,0.0043063
103000,0.0043167
104000,0.0043278
105000,0.0043381
106000,0.0043483
107000,0.0043584
108000,0.0043685
109000,0.0043798
110000,0.004392
111000,0.0049837
112000,0.0049961
113000,0.005007
114000,0.0050191
115000,0.0050292
116000,0.0050394
117000,0.0050496
118000,0.0050597
119000,0.0050698
120000,0.0050799
121000,0.0057069
122000,0.0057194
123000,0.0057303
124000,0.0057406
125000,0.0057506
126000,0.0057621
127000,0.0057725
128000,0.0057828
129000,0.0057906
130000,0.0058003
131000,0.006507
132000,0.0065521
133000,0.0065628
134000,0.0065733
135000,0.0065833
136000,0.0065934
137000,0.0066036
138000,0.0066136
139000,0.0066236
140000,0.0066339
141000,0.0073561
142000,0.0073682
143000,0.0073795
144000,0.0073922
145000,0.0074045
146000,0.0074147
147000,0.0074249
148000,0.007435
149000,0.007445
150000,0.007455
151000,0.008215
152000,0.0082269
153000,0.0082373
154000,0.0082477
155000,0.0082577
156000,0.0082678
157000,0.0082781
158000,0.0082882
159000,0.0082982
160000,0.0083082
161000,0.0091206
162000,0.0091331
163000,0.0091433
164000,0.0091536
165000,0.0091638
166000,0.0091739
167000,0.0091842
168000,0.0091942
169000,0.0092043
170000,0.0092152
171000,0.0100766
172000,0.0100892
173000,0.0100995
174000,0.0101098
175000,0.0101203
176000,0.0101304
177000,0.0101405
178000,0.0101507
179000,0.0101608
180000,0.0101708
181000,0.0110871
182000,0.0110996
183000,0.01111
184000,0.0111203
185000,0.0111304
186000,0.0111405
187000,0.0111508
188000,0.0111609
189000,0.0111709
190000,0.0111811
191000,0.0121471
192000,0.0121592
193000,0.0121694
194000,0.0121795
195000,0.0121897
196000,0.0121997
197000,0.0122099
