n,time(seconds)
100,0.0001729
200,0.0002028
300,0.000215
400,0.0002262
500,0.0002373
600,0.0002491
700,0.0002604
800,0.0002713
900,0.0002823
1000,0.0002935
1100,0.000306
1200,0.0003176
1300,0.000329
1400,0.000341
1500,0.0003522
1600,0.0003639
1700,0.0003752
1800,0.0003868
1900,0.0003981
2000,0.0004091
2100,0.0004214
2200,0.0004331
2300,0.0004447
2400,0.0004563
2500,0.0004678
2600,0.000479
2700,0.0004903
2800,0.000502
2900,0.0005138
3000,0.0005252
3100,0.0005365
3200,0.000548
3300,0.0005594
3400,0.0005711
3500,0.0005827
3600,0.0005943
3700,0.0006064
3800,0.0006182
3900,0.0006296
4000,0.0006411
4100,0.0006542
4200,0.0006664
4300,0.0006783
4400,0.0006903
4500,0.0007024
4600,0.0007142
4700,0.0007263
4800,0.0007454
4900,0.0007679
5000,0.0007808
5100,0.0007935
5200,0.0008057
5300,0.0008179
5400,0.0008298
5500,0.0008418
5600,0.0008534
5700,0.0008654
5800,0.0008774
5900,0.000889
6000,0.0009014
6100,0.0009132
6200,0.0009252
6300,0.0009374
6400,0.0009492
6500,0.000961
6600,0.000974
6700,0.0009856
6800,0.0009977
6900,0.0010098
7000,0.001022
7100,0.0010342
7200,0.0010465
7300,0.0010584
7400,0.0010703
7500,0.0010823
7600,0.0010938
7700,0.0011058
7800,0.0011176
7900,0.0011293
8000,0.0011416
8100,0.0011535
8200,0.001168
8300,0.0011804
8400,0.001193
8500,0.0012055
8600,0.0012179
8700,0.0012302
8800,0.0012427
8900,0.0012553
9000,0.0012678
9100,0.0012803
9200,0.0012928
9300,0.001305
9400,0.0013176
9500,0.0013313
9600,0.0013437
9700,0.0013561
9800,0.0013683
9900,0.0013807
10000,0.0013933
10100,0.001406
10200,0.0014182
10300,0.0014304
10400,0.0014425
10500,0.0014551
10600,0.0014671
10700,0.0014797
10800,0.0014918
10900,0.0015042
11000,0.0015166
11100,0.001529
11200,0.0015414
11300,0.0015539
11400,0.0015663
11500,0.0015786
11600,0.0015909
11700,0.0016033
11800,0.0016156
11900,0.0016278
12000,0.0016401
12100,0.0016525
12200,0.0016649
12300,0.0016771
12400,0.0016898
12500,0.0017022
12600,0.0017148
12700,0.0017271
12800,0.0017395
12900,0.0017544
13000,0.0017715
13100,0.0017888
13200,0.0018064
13300,0.001824
13400,0.0018411
13500,0.0018581
13600,0.0018754
13700,0.0018936
13800,0.0019114
13900,0.0019286
14000,0.0019454
14100,0.0019621
14200,0.0019796
14300,0.0019962
14400,0.0020129
14500,0.0020292
14600,0.0020452
14700,0.0020617
14800,0.0020782
14900,0.0020975
15000,0.0021141
15100,0.0021355
15200,0.0021547
15300,0.0021723
15400,0.0021892
15500,0.0022064
15600,0.0022232
15700,0.0022407
15800,0.0022579
15900,0.0022764
16000,0.0022933
16100,0.0023109
16200,0.0023275
16300,0.002344
16400,0.0023701
16500,0.0023899
16600,0.0024108
16700,0.0024308
16800,0.0024491
16900,0.0024672
17000,0.002486
17100,0.0025051
17200,0.0025234
17300,0.0025418
17400,0.0025596
17500,0.0025755
17600,0.0025934
17700,0.0026131
17800,0.0026322
17900,0.0026516
18000,0.0026715
18100,0.0026911
18200,0.0027122
18300,0.0027333
18400,0.0027541
18500,0.0027737
18600,0.0027945
18700,0.0028151
18800,0.0028353
18900,0.0028548
19000,0.0028756
19100,0.0028952
19200,0.0029146
19300,0.0029343
19400,0.0029541
19500,0.0029736
19600,0.0029942
19700,0.0030144
19800,0.0030341
19900,0.0030536
20000,0.0030738
20100,0.0030929
20200,0.003113
20300,0.0031318
20400,0.0031513
20500,0.0031712
20600,0.00319
20700,0.0032097
20800,0.0032298
20900,0.0032494
21000,0.0032687
21100,0.003288
21200,0.0033093
21300,0.0033289
21400,0.0033477
21500,0.0033668
21600,0.0033866
21700,0.0034068
21800,0.0034266
21900,0.0034461
22000,0.0034651
22100,0.0034846
22200,0.0035038
22300,0.0035234
22400,0.0035433
22500,0.003563
22600,0.0035826
22700,0.003602
22800,0.0036226
22900,0.0036431
23000,0.0036638
23100,0.0036834
23200,0.0037021
23300,0.0037213
23400,0.0037408
23500,0.0037605
23600,0.0037814
23700,0.0038017
23800,0.0038223
23900,0.0038414
24000,0.0038606
24100,0.0038802
24200,0.0038996
24300,0.0039183
24400,0.0039382
24500,0.003958
24600,0.0039776
24700,0.0039975
24800,0.0040167
24900,0.0040363
25000,0.0040557
25100,0.004075
25200,0.0040947
25300,0.0041144
25400,0.0041338
25500,0.0041535
25600,0.0041741
25700,0.0041932
25800,0.0042129
25900,0.0042308
26000,0.0042485
26100,0.0042657
26200,0.0042832
26300,0.0043008
26400,0.0043185
26500,0.0043397
26600,0.0043588
26700,0.0043772
26800,0.0043961
26900,0.0044144
27000,0.0044333
27100,0.0044519
27200,0.004471
27300,0.0044898
27400,0.0045086
27500,0.0045266
27600,0.004545
27700,0.0045638
27800,0.0045823
27900,0.0046007
28000,0.0046189
28100,0.0046374
28200,0.0046564
28300,0.004675
28400,0.0046933
28500,0.0047129
28600,0.0047318
28700,0.0047518
28800,0.0047713
28900,0.0047906
29000,0.0048108
29100,0.0048299
29200,0.0048487
29300,0.0048671
29400,0.0048856
29500,0.0049045
29600,0.0049231
29700,0.0049419
29800,0.0049604
29900,0.0049791
30000,0.0049978
30100,0.0050168
30200,0.0050356
30300,0.0050542
30400,0.0050724
30500,0.0050916
30600,0.0051101
30700,0.0051289
30800,0.0051477
30900,0.0051666
31000,0.0051854
31100,0.0052044
31200,0.0052236
31300,0.0052427
31400,0.0052618
31500,0.0052809
31600,0.0052994
31700,0.0053184
31800,0.0053371
31900,0.0053556
32000,0.0053743
32100,0.0053925
32200,0.0054108
32300,0.0054298
32400,0.0054485
32500,0.005467
32600,0.0054858
32700,0.0055048
32800,0.0055341
32900,0.0055544
33000,0.0055736
33100,0.0055931
33200,0.0056116
33300,0.0056298
33400,0.005649
33500,0.0056685
33600,0.0056875
33700,0.0057065
33800,0.0057255
33900,0.0057443
34000,0.005784
34100,0.005813
34200,0.0058296
34300,0.0058456
34400,0.0058619
34500,0.0058782
34600,0.0058942
34700,0.0059103
34800,0.0059263
34900,0.0059428
35000,0.005959
35100,0.0059756
35200,0.0059915
35300,0.0060069
35400,0.0060228
35500,0.0060386
35600,0.0060547
35700,0.0060707
35800,0.0060866
35900,0.0061029
36000,0.0061186
36100,0.0061344
36200,0.00615
36300,0.0061658
36400,0.0061815
36500,0.0061976
36600,0.0062138
36700,0.0062301
36800,0.0062462
36900,0.0062622
37000,0.0062782
37100,0.0062941
37200,0.00631
37300,0.0063261
37400,0.0063421
37500,0.0063582
37600,0.0063744
37700,0.0063904
37800,0.0064065
37900,0.0064224
38000,0.0064385
38100,0.0064547
38200,0.0064705
38300,0.0064867
38400,0.0065028
38500,0.0065191
38600,0.0065353
38700,0.0065513
38800,0.0065673
