n,time(seconds)
100,1.2e-05
200,3.7e-05
300,5.89e-05
400,7.28e-05
500,8.62e-05
600,0.0001092
700,0.0001238
800,0.0001377
900,0.0001517
1000,0.0001652
1100,0.0001945
1200,0.000215
1300,0.0002269
1400,0.0002385
1500,0.0002502
1600,0.0002615
1700,0.0002729
1800,0.0002841
1900,0.0002952
2000,0.0003065
2100,0.0003288
2200,0.0003411
2300,0.0003528
2400,0.0003645
2500,0.000376
2600,0.0003876
2700,0.0003992
2800,0.0004113
2900,0.0004258
3000,0.0004375
3100,0.0004502
3200,0.0004619
3300,0.0004734
3400,0.0004849
3500,0.0004964
3600,0.0005081
3700,0.0005196
3800,0.0005312
3900,0.000543
4000,0.0005547
4100,0.0005786
4200,0.0005911
4300,0.0006032
4400,0.000615
4500,0.0006271
4600,0.0006391
4700,0.0006512
4800,0.0006632
4900,0.0006779
5000,0.00069
5100,0.000702
5200,0.0007139
5300,0.0007257
5400,0.0007379
5500,0.0007496
5600,0.0007613
5700,0.0007733
5800,0.0007855
5900,0.0007975
6000,0.0008117
6100,0.0008238
6200,0.0008357
6300,0.0008476
6400,0.0008596
6500,0.0008718
6600,0.000884
6700,0.0008958
6800,0.0009077
6900,0.0009195
7000,0.000934
7100,0.000946
7200,0.000958
7300,0.0009701
7400,0.0009817
7500,0.0009937
7600,0.0010055
7700,0.0010175
7800,0.0010294
7900,0.0010414
8000,0.0010532
8100,0.0010653
8200,0.0011091
8300,0.0011223
8400,0.0011348
8500,0.0011473
8600,0.0011596
8700,0.0011718
8800,0.0011854
8900,0.0011978
9000,0.0012135
9100,0.0012259
9200,0.0012384
9300,0.0012507
9400,0.001263
9500,0.0012754
9600,0.0012879
9700,0.0013004
9800,0.001313
9900,0.0013253
10000,0.0013401
10100,0.0013525
10200,0.0013647
10300,0.0013774
10400,0.0013898
10500,0.0014022
10600,0.001415
10700,0.0014274
10800,0.0014395
10900,0.0014519
11000,0.0014644
11100,0.0014797
11200,0.0014922
11300,0.0015045
11400,0.0015167
11500,0.0015293
11600,0.0015417
11700,0.0015555
11800,0.0015695
11900,0.0015844
12000,0.0015986
12100,0.0016138
12200,0.001626
12300,0.0016384
12400,0.0016508
12500,0.0016631
12600,0.0016754
12700,0.0016877
12800,0.0016997
12900,0.0017123
13000,0.0017247
13100,0.0017396
13200,0.0017521
13300,0.0017645
13400,0.001777
13500,0.0017893
13600,0.0018019
13700,0.001814
13800,0.0018262
13900,0.0018386
14000,0.0018508
14100,0.0018655
14200,0.0018778
14300,0.0018901
14400,0.0019025
14500,0.0019149
14600,0.0019273
14700,0.0019394
14800,0.0019515
14900,0.0019634
15000,0.0019762
15100,0.0019885
15200,0.0020036
15300,0.002016
15400,0.0020285
15500,0.0020405
15600,0.0020524
15700,0.0020646
15800,0.0020771
15900,0.0020893
16000,0.0021014
16100,0.0021146
16200,0.0021267
16300,0.0021388
16400,0.0021923
16500,0.0022061
16600,0.0022187
16700,0.0022312
16800,0.0022443
16900,0.0022571
17000,0.0022697
17100,0.002282
17200,0.0022971
17300,0.0023096
17400,0.0023218
17500,0.0023345
17600,0.0023468
17700,0.0023591
17800,0.0023716
17900,0.002384
18000,0.0023963
18100,0.0024088
18200,0.0024237
18300,0.0024361
18400,0.0024485
18500,0.0024611
18600,0.0024745
18700,0.0024882
18800,0.0025015
18900,0.002514
19000,0.0025265
19100,0.002539
19200,0.0025515
19300,0.0025667
19400,0.0025792
19500,0.0025916
19600,0.0026041
19700,0.0026166
19800,0.0026291
19900,0.0026415
20000,0.0026538
20100,0.0026663
20200,0.0026789
20300,0.002694
20400,0.0027064
20500,0.0027186
20600,0.0027311
20700,0.0027438
20800,0.0027563
20900,0.0027687
21000,0.0027812
21100,0.0027934
21200,0.0028059
21300,0.0028209
21400,0.002833
21500,0.0028455
21600,0.0028576
