n,time(seconds)
100,9.2e-06
200,5.41e-05
300,8.52e-05
400,0.0001184
500,0.0001563
600,0.0002025
700,0.0002524
800,0.0003137
900,0.0003759
1000,0.0004499
1100,0.0005272
1200,0.0006308
1300,0.000751
1400,0.0008772
1500,0.0010344
1600,0.0011827
1700,0.0013647
1800,0.0015504
1900,0.0017533
2000,0.001957
2100,0.0021571
2200,0.0024115
2300,0.0026819
2400,0.0029595
2500,0.0032402
2600,0.0035211
2700,0.0038414
2800,0.0041706
2900,0.004492
3000,0.0048368
3100,0.0052078
3200,0.0056027
3300,0.0060016
3400,0.0064468
3500,0.0069003
3600,0.0073284
3700,0.0078129
3800,0.0083283
3900,0.0088164
4000,0.0096183
4100,0.0102669
4200,0.0107828
4300,0.0113233
4400,0.0119112
4500,0.0124985
4600,0.0130672
4700,0.013653
4800,0.0142535
4900,0.0149191
5000,0.0155892
5100,0.016287
5200,0.0169876
5300,0.0176787
5400,0.0183923
5500,0.0191323
5600,0.0198689
5700,0.0206335
5800,0.0214221
5900,0.0222208
6000,0.0230424
6100,0.023799
6200,0.0246212
6300,0.0255344
6400,0.0262941
6500,0.0272122
6600,0.0281093
6700,0.0290117
6800,0.0299726
6900,0.0308931
7000,0.0318071
7100,0.032793
7200,0.0337359
7300,0.0347369
7400,0.0357319
7500,0.0367939
7600,0.037791
7700,0.0388642
7800,0.0398849
7900,0.0410469
8000,0.0422483
8100,0.0434572
8200,0.0446079
8300,0.0456468
8400,0.0468603
8500,0.0480086
8600,0.0492078
8700,0.0504524
8800,0.0517623
8900,0.0531589
9000,0.0544625
9100,0.0558694
9200,0.0571885
9300,0.0585792
9400,0.05992
9500,0.0613891
9600,0.0627711
9700,0.0643462
9800,0.0656974
9900,0.0673483
10000,0.0689181
10100,0.0705486
10200,0.0721571
10300,0.0737849
10400,0.0755031
10500,0.0771429
10600,0.0789052
10700,0.0805661
10800,0.0823325
10900,0.0840987
11000,0.0858729
11100,0.0876254
11200,0.0894272
11300,0.0911233
11400,0.0930661
11500,0.0948567
11600,0.0967103
11700,0.0986259
11800,0.100653
11900,0.102626
12000,0.104866
12100,0.107008
12200,0.108851
12300,0.110985
12400,0.113072
