n,time(seconds)
100,1.05e-05
200,7.75e-05
300,0.0001164
400,0.0001613
500,0.0002552
600,0.0003067
700,0.0004349
800,0.0005019
900,0.0006308
1000,0.0007069
1100,0.0008685
1200,0.0009921
1300,0.001113
1400,0.0012447
1500,0.0013822
1600,0.0015541
1700,0.0017259
1800,0.0019367
1900,0.002151
2000,0.0023578
2100,0.0026189
2200,0.0028897
2300,0.0031693
2400,0.0034599
2500,0.0037321
2600,0.0040411
2700,0.0043447
2800,0.0046912
2900,0.0050691
3000,0.0054338
3100,0.0059117
3200,0.0064703
3300,0.0069922
3400,0.0074637
3500,0.0079061
3600,0.0083677
3700,0.0088363
3800,0.0093452
3900,0.0098254
4000,0.010725
4100,0.0112456
4200,0.0117687
4300,0.0123592
4400,0.0129935
4500,0.0135609
4600,0.0141584
4700,0.0147399
4800,0.01541
4900,0.0161341
5000,0.0169477
5100,0.0176952
5200,0.0184107
5300,0.0190809
5400,0.0198211
5500,0.0204938
5600,0.0213081
5700,0.0221522
5800,0.0229617
5900,0.0237872
6000,0.0245118
6100,0.0253597
6200,0.0262144
6300,0.0270721
6400,0.0279398
6500,0.0287596
6600,0.0296249
6700,0.0306233
6800,0.0314521
6900,0.032405
7000,0.0334075
7100,0.0343459
7200,0.0353786
7300,0.0363609
7400,0.037395
7500,0.0384243
7600,0.0396063
7700,0.0407334
7800,0.041817
7900,0.0429756
8000,0.0440868
8100,0.0452291
8200,0.046522
8300,0.0477026
8400,0.0489639
8500,0.0502189
8600,0.0515488
8700,0.0528555
8800,0.054157
8900,0.0553959
9000,0.0566541
9100,0.0580461
9200,0.0594572
9300,0.0607706
9400,0.0621171
9500,0.0634899
9600,0.0647889
9700,0.0663288
9800,0.067835
9900,0.0694495
10000,0.0709907
10100,0.0725126
10200,0.0741731
10300,0.075641
10400,0.0773278
10500,0.0790998
10600,0.0808399
10700,0.082733
10800,0.0847337
10900,0.0865955
11000,0.0884333
11100,0.0902387
11200,0.0921216
11300,0.0941155
11400,0.0960391
11500,0.0980003
11600,0.0999389
11700,0.101983
11800,0.104084
11900,0.106205
12000,0.108419
12100,0.110667
12200,0.112826
12300,0.114985
12400,0.11711
12500,0.119117
12600,0.121443
12700,0.12394
12800,0.126132
12900,0.128245
13000,0.130528
13100,0.132993
13200,0.135362
13300,0.137567
13400,0.139834
13500,0.142445
13600,0.145087
13700,0.147369
13800,0.149742
13900,0.152486
14000,0.155071
14100,0.157665
14200,0.160227
14300,0.163124
14400,0.165811
14500,0.168541
