n,time(seconds)
100,0.0001458
200,0.00018
300,0.0001884
400,0.000196
500,0.0002036
600,0.0002113
700,0.0002188
800,0.0002264
900,0.0002339
1000,0.0002414
1100,0.0002489
1200,0.0002567
1300,0.0002647
1400,0.0002722
1500,0.0002797
1600,0.0002874
1700,0.0002951
1800,0.0003028
1900,0.0003111
2000,0.000319
2100,0.0003265
2200,0.000334
2300,0.0003415
2400,0.0003489
2500,0.0003565
2600,0.0003644
2700,0.0003725
2800,0.0003856
2900,0.0003952
3000,0.0004028
3100,0.0004101
3200,0.0004176
3300,0.0004253
3400,0.000433
3500,0.0004409
3600,0.0004491
3700,0.0004566
3800,0.0004647
3900,0.0004995
4000,0.0005101
4100,0.0005177
4200,0.0005274
4300,0.0005371
4400,0.0005468
4500,0.0005565
4600,0.000564
4700,0.0005738
4800,0.0005836
4900,0.0005932
5000,0.0006007
5100,0.0006103
5200,0.00062
5300,0.0006296
5400,0.0006393
5500,0.0006468
5600,0.0006564
5700,0.0006664
5800,0.000676
5900,0.0006835
6000,0.0006931
6100,0.0007028
6200,0.0007124
6300,0.000722
6400,0.0007294
6500,0.0007389
6600,0.0007485
6700,0.0007581
6800,0.0007655
6900,0.0007751
7000,0.0007848
7100,0.0007944
7200,0.000804
7300,0.0008114
7400,0.000821
7500,0.0008308
7600,0.0008404
7700,0.00085
7800,0.0008574
7900,0.0008671
8000,0.0008767
8100,0.0008915
8200,0.0008991
8300,0.0009089
8400,0.0009186
8500,0.0009282
8600,0.000938
8700,0.0009454
8800,0.000955
8900,0.0009647
9000,0.0009743
9100,0.0009817
9200,0.0009913
9300,0.001001
9400,0.0010106
9500,0.0010203
9600,0.0010278
9700,0.0010375
9800,0.0010471
9900,0.0010568
10000,0.0010643
10100,0.0010743
10200,0.0010839
10300,0.0010937
10400,0.0011034
10500,0.0011108
10600,0.0011207
10700,0.0011303
10800,0.0011399
10900,0.0011499
11000,0.0011573
11100,0.0011673
11200,0.0011768
11300,0.0011864
11400,0.0011938
11500,0.0012035
11600,0.0012132
11700,0.0012228
11800,0.0012323
11900,0.0012398
12000,0.0012494
12100,0.001259
12200,0.0012686
12300,0.0012761
12400,0.0012905
12500,0.0013004
12600,0.0013101
12700,0.0013198
12800,0.0013272
12900,0.0013367
13000,0.0013465
13100,0.0013563
13200,0.0013638
13300,0.0013735
13400,0.0013856
13500,0.0013959
13600,0.0014058
13700,0.0014133
13800,0.0014232
13900,0.0014331
14000,0.0014429
14100,0.0014529
14200,0.0014609
14300,0.0014708
14400,0.0014806
14500,0.0014907
14600,0.0014987
14700,0.0015083
14800,0.0015181
14900,0.0015279
15000,0.0015376
15100,0.0015451
15200,0.0015551
15300,0.0015647
15400,0.0015743
15500,0.0015817
15600,0.0015914
15700,0.001601
15800,0.001611
15900,0.0016214
16000,0.0016289
16100,0.0016386
16200,0.0016482
16300,0.0016581
16400,0.0016656
16500,0.0016753
16600,0.0016901
16700,0.0017001
16800,0.00171
16900,0.0017176
17000,0.0017278
17100,0.0017381
17200,0.0017477
17300,0.0017577
17400,0.0017651
17500,0.0017748
17600,0.0017845
17700,0.0017942
17800,0.0018016
17900,0.0018113
18000,0.001821
18100,0.0018309
18200,0.0018413
18300,0.0018489
18400,0.0018585
18500,0.0018682
18600,0.0018778
18700,0.0018855
18800,0.0018953
18900,0.001905
19000,0.0019148
19100,0.0019246
19200,0.0019327
19300,0.0019428
19400,0.0019525
19500,0.0019621
19600,0.0019695
19700,0.0019791
19800,0.0019889
19900,0.0019986
20000,0.0020083
20100,0.0020158
20200,0.0020253
20300,0.002035
20400,0.0020448
20500,0.0020547
20600,0.0020629
20700,0.0020729
20800,0.0020887
20900,0.0020992
21000,0.0021067
21100,0.0021164
21200,0.0021262
21300,0.0021359
21400,0.0021456
21500,0.0021531
21600,0.0021627
21700,0.0021723
21800,0.002183
21900,0.0021904
22000,0.0022001
22100,0.0022099
22200,0.0022195
22300,0.0022292
22400,0.0022365
22500,0.0022464
22600,0.0022559
22700,0.0022656
22800,0.002273
22900,0.0022826
23000,0.0022943
23100,0.002304
23200,0.0023137
23300,0.0023211
23400,0.0023308
23500,0.0023406
23600,0.0023502
23700,0.0023604
