n,time(seconds)
100,7.4e-06
200,5.06e-05
300,6.01e-05
400,7.02e-05
500,8.01e-05
600,9e-05
700,9.77e-05
800,0.0001074
900,0.0001176
1000,0.0001274
1100,0.0001374
1200,0.0001451
1300,0.0001686
1400,0.0001789
1500,0.0001887
1600,0.0001963
1700,0.0002059
1800,0.0002157
1900,0.0002254
2000,0.0002353
2100,0.0002428
2200,0.0002525
2300,0.0002622
2400,0.0002719
2500,0.0002795
2600,0.0002891
2700,0.0002989
2800,0.0003086
2900,0.0003184
3000,0.0003259
3100,0.0003356
3200,0.0003454
3300,0.0003551
3400,0.0003648
3500,0.0003724
3600,0.0003823
3700,0.000392
3800,0.0004018
3900,0.0004094
4000,0.000419
4100,0.0004288
4200,0.0004385
4300,0.0004483
4400,0.0004559
4500,0.0004656
4600,0.0004753
4700,0.0004851
4800,0.0004926
4900,0.0005022
5000,0.000512
5100,0.0005217
5200,0.0005315
5300,0.0005391
5400,0.0005487
5500,0.0005644
5600,0.0005745
5700,0.0005821
5800,0.0005918
5900,0.0006016
6000,0.0006113
6100,0.0006211
6200,0.0006287
6300,0.0006385
6400,0.0006483
6500,0.0006582
6600,0.0006679
6700,0.0006756
6800,0.0006853
6900,0.0006954
7000,0.0007053
7100,0.0007128
7200,0.0007226
7300,0.0007323
7400,0.0007423
7500,0.0007521
7600,0.0007597
7700,0.0007697
7800,0.0007848
7900,0.0007952
8000,0.0008029
8100,0.0008127
8200,0.0008226
8300,0.0008323
8400,0.000842
8500,0.00085
8600,0.0008599
8700,0.0008697
8800,0.0008796
8900,0.0008872
9000,0.0008971
9100,0.0009072
9200,0.000917
9300,0.000927
9400,0.0009346
9500,0.0009443
9600,0.0009542
9700,0.0009706
9800,0.0009807
9900,0.0009884
10000,0.0009982
10100,0.0010085
10200,0.0010184
10300,0.0010261
10400,0.0010359
10500,0.0010457
10600,0.0010556
10700,0.0010654
10800,0.001073
10900,0.0010829
11000,0.0010926
11100,0.0011024
11200,0.0011099
11300,0.0011197
11400,0.0011295
11500,0.0011394
11600,0.0011495
11700,0.0011576
11800,0.0011674
11900,0.0011774
12000,0.0011874
12100,0.001195
12200,0.001205
12300,0.0012154
12400,0.0012252
12500,0.0012352
12600,0.0012429
12700,0.0012527
12800,0.0012625
12900,0.0012725
13000,0.0012823
13100,0.00129
13200,0.0012998
13300,0.0013098
13400,0.0013196
13500,0.0013274
13600,0.0013374
13700,0.0013494
13800,0.0013593
13900,0.0013748
14000,0.0013834
14100,0.0013943
14200,0.0014043
14300,0.0014142
14400,0.0014218
14500,0.0014318
14600,0.0014417
14700,0.0014515
14800,0.0014613
14900,0.0014689
15000,0.0014786
15100,0.0014885
15200,0.0014983
15300,0.0015059
15400,0.0015156
15500,0.0015263
15600,0.0015361
15700,0.001546
15800,0.0015536
15900,0.0015634
16000,0.0015731
16100,0.0015829
16200,0.0015929
16300,0.0016004
16400,0.0016106
16500,0.0016205
16600,0.0016303
16700,0.0016381
16800,0.0016481
16900,0.0016597
17000,0.0016705
17100,0.0016826
17200,0.0016902
17300,0.0017001
17400,0.00171
17500,0.00172
17600,0.0017276
17700,0.0017375
17800,0.0017474
17900,0.0017573
18000,0.0017673
18100,0.0017779
18200,0.0017957
18300,0.001806
18400,0.001816
18500,0.0018238
18600,0.0018338
18700,0.0018438
18800,0.001854
18900,0.0018644
19000,0.0018727
19100,0.0018827
19200,0.0018927
19300,0.0019026
19400,0.0019124
19500,0.0019201
19600,0.0019299
19700,0.0019401
19800,0.0019501
19900,0.0019579
20000,0.0019676
20100,0.0019779
20200,0.0019878
20300,0.0019978
20400,0.0020054
20500,0.0020153
20600,0.0020257
20700,0.0020356
20800,0.0020433
20900,0.0020532
21000,0.0020637
21100,0.0020736
21200,0.0020834
21300,0.0020921
21400,0.0021018
21500,0.0021116
21600,0.0021215
21700,0.0021291
21800,0.0021393
21900,0.0021491
22000,0.0021588
22100,0.0021689
22200,0.0021764
22300,0.0021861
22400,0.0022016
22500,0.0022117
22600,0.0022215
22700,0.0022295
22800,0.0022394
22900,0.0022492
23000,0.0022594
23100,0.0022671
23200,0.0022768
23300,0.0022867
23400,0.0022965
23500,0.0023063
23600,0.002314
23700,0.0023238
23800,0.0023338
23900,0.0023437
24000,0.0023513
24100,0.0023611
24200,0.0023709
24300,0.0023807
24400,0.0023906
24500,0.0023982
24600,0.0024082
24700,0.0024189
24800,0.0024288
24900,0.0024363
25000,0.0024461
25100,0.002456
25200,0.0024658
25300,0.0024755
25400,0.002483
25500,0.0024927
25600,0.0025025
25700,0.0025124
25800,0.0025222
25900,0.0025298
26000,0.0025394
26100,0.0025492
26200,0.0025589
26300,0.0025665
26400,0.0025762
26500,0.0025872
26600,0.0026032
26700,0.0026134
26800,0.002621
26900,0.0026309
27000,0.0026407
27100,0.0026505
27200,0.0026581
27300,0.0026678
27400,0.0026777
27500,0.0026875
27600,0.0026973
27700,0.0027049
27800,0.0027146
27900,0.0027244
28000,0.0027341
28100,0.0027416
28200,0.0027514
28300,0.0027612
28400,0.0027761
28500,0.0028027
28600,0.0028124
28700,0.0028232
28800,0.0028331
28900,0.0028429
29000,0.0028526
29100,0.0028602
29200,0.0028699
29300,0.0028797
29400,0.0028893
29500,0.0028968
29600,0.0029065
29700,0.0029162
29800,0.002926
29900,0.0029358
30000,0.0029433
30100,0.0029529
30200,0.0029627
30300,0.0029725
30400,0.00298
30500,0.0029897
30600,0.0029994
30700,0.0030092
30800,0.0030274
30900,0.0030354
31000,0.0030453
31100,0.0030552
31200,0.0030652
31300,0.0030727
31400,0.0030825
31500,0.0030923
31600,0.0031025
31700,0.0031123
31800,0.00312
31900,0.0031299
32000,0.0031397
32100,0.0031495
32200,0.0031593
32300,0.0031669
32400,0.0031766
32500,0.0031865
32600,0.0031964
32700,0.0032039
32800,0.0032138
32900,0.0032237
33000,0.0032335
33100,0.0032433
33200,0.0032509
33300,0.0032607
33400,0.0032705
33500,0.0032805
33600,0.0032881
33700,0.0032979
33800,0.0033077
33900,0.0033175
34000,0.0033273
34100,0.0033348
34200,0.0033446
34300,0.0033545
34400,0.0033642
34500,0.0033717
34600,0.0033815
34700,0.0033914
34800,0.0034012
34900,0.003411
35000,0.0034186
35100,0.0034339
35200,0.0034441
35300,0.0034542
35400,0.003464
35500,0.0034716
35600,0.0034814
35700,0.0034913
35800,0.0035011
35900,0.0035087
36000,0.0035186
36100,0.0035284
36200,0.0035382
36300,0.0035479
36400,0.0035555
36500,0.0035652
36600,0.003575
36700,0.0035847
36800,0.0035923
36900,0.003602
37000,0.0036118
37100,0.0036216
37200,0.0036314
37300,0.0036389
37400,0.0036487
37500,0.0036585
37600,0.0036683
37700,0.0036758
37800,0.0036855
37900,0.0036953
38000,0.0037061
38100,0.0037175
38200,0.0037261
38300,0.0037373
38400,0.003747
38500,0.0037568
38600,0.0037669
38700,0.0037758
38800,0.0037873
38900,0.0037981
39000,0.0038079
39100,0.0038154
39200,0.0038253
39300,0.0038406
39400,0.0038507
39500,0.0038605
39600,0.0038681
39700,0.0038779
39800,0.0038878
39900,0.0038978
40000,0.0039054
40100,0.0039152
40200,0.003925
40300,0.0039348
40400,0.0039446
40500,0.0039521
40600,0.0039619
40700,0.0039717
40800,0.0039815
40900,0.003989
41000,0.0039988
41100,0.0040086
41200,0.0040183
41300,0.004028
41400,0.0040356
41500,0.0040453
41600,0.0040552
41700,0.0040649
41800,0.0040747
41900,0.0040823
42000,0.004092
42100,0.0041018
42200,0.0041115
42300,0.0041191
42400,0.0041288
42500,0.0041387
42600,0.0041484
42700,0.0041581
42800,0.0041657
42900,0.0041754
43000,0.0041852
43100,0.0041949
43200,0.0042025
43300,0.0042122
43400,0.004222
43500,0.0042368
43600,0.0042468
43700,0.0042544
43800,0.0042642
43900,0.004274
44000,0.0042838
44100,0.0042914
44200,0.0043012
44300,0.004311
44400,0.0043208
44500,0.0043306
44600,0.0043381
44700,0.004348
44800,0.0043577
44900,0.0043675
45000,0.0043773
45100,0.0043848
45200,0.0043946
45300,0.0044044
45400,0.0044141
45500,0.0044216
45600,0.0044314
45700,0.0044412
45800,0.004451
45900,0.0044612
46000,0.0044687
46100,0.0044784
46200,0.0044885
46300,0.0044982
46400,0.0045058
46500,0.0045156
46600,0.0045256
46700,0.0045354
46800,0.0045451
46900,0.0045526
47000,0.0045624
47100,0.0045725
47200,0.0045822
47300,0.0045897
47400,0.0045994
47500,0.0046093
47600,0.004619
47700,0.004634
47800,0.0046418
47900,0.0046516
48000,0.0046616
48100,0.0046733
48200,0.0046841
48300,0.0046933
48400,0.0047039
48500,0.0047136
48600,0.0047233
48700,0.004731
48800,0.0047407
48900,0.0047505
49000,0.0047602
49100,0.0047711
49200,0.0047797
49300,0.0047907
49400,0.0048008
49500,0.0048107
49600,0.0048188
49700,0.0048288
49800,0.0048387
49900,0.0048485
50000,0.0048583
50100,0.0048659
50200,0.004876
50300,0.0048866
50400,0.0048964
50500,0.0049041
50600,0.004914
50700,0.0049247
50800,0.0049346
50900,0.0049446
51000,0.0049527
51100,0.0049628
51200,0.0049727
51300,0.0049826
51400,0.0049925
51500,0.0050002
51600,0.0050108
51700,0.0050207
51800,0.0050308
51900,0.0050394
52000,0.0050554
52100,0.0050655
52200,0.0050756
52300,0.0050873
52400,0.0050958
52500,0.0051063
52600,0.0051166
52700,0.0051264
52800,0.005134
52900,0.0051441
53000,0.0051539
53100,0.0051649
53200,0.0051756
53300,0.0051833
53400,0.0051931
53500,0.005203
53600,0.005213
53700,0.0052206
53800,0.0052305
53900,0.005241
54000,0.0052522
54100,0.0052621
54200,0.0052696
54300,0.00528
54400,0.0052901
54500,0.0052999
54600,0.0053097
54700,0.0053174
54800,0.0053271
54900,0.0053382
55000,0.005348
55100,0.0053556
55200,0.0053654
55300,0.0053755
55400,0.0053866
55500,0.0053964
55600,0.0054039
55700,0.0054136
55800,0.0054237
55900,0.0054336
56000,0.0054411
56100,0.0054508
56200,0.0054661
56300,0.0054761
56400,0.0054859
56500,0.0054934
56600,0.0055033
56700,0.0055131
56800,0.0055228
56900,0.0055304
57000,0.0055401
57100,0.0055499
57200,0.0055597
57300,0.0055695
57400,0.0055771
57500,0.0055868
57600,0.0055966
57700,0.0056062
57800,0.005616
57900,0.0056235
58000,0.0056333
58100,0.005643
58200,0.0056528
58300,0.0056603
58400,0.0056701
58500,0.0056802
58600,0.00569
58700,0.0056997
58800,0.0057073
58900,0.005717
59000,0.0057268
59100,0.0057366
59200,0.0057441
59300,0.0057538
59400,0.0057636
59500,0.005786
59600,0.0058426
59700,0.0058513
59800,0.0058615
59900,0.0058715
60000,0.0058815
60100,0.0058893
60200,0.0058991
60300,0.0059089
60400,0.0059357
60500,0.0059463
60600,0.005954
60700,0.0059641
60800,0.0059739
60900,0.0059838
61000,0.0059937
61100,0.0060013
61200,0.0060109
61300,0.0060207
61400,0.0060306
61500,0.0060381
61600,0.0060479
61700,0.0060577
61800,0.0060675
61900,0.0060803
62000,0.006088
62100,0.006098
62200,0.0061079
62300,0.0061177
62400,0.0061253
62500,0.0061352
62600,0.006145
62700,0.0061549
62800,0.0061649
62900,0.0061725
63000,0.0061822
63100,0.0061921
63200,0.0062019
63300,0.0062095
63400,0.0062193
63500,0.0062295
63600,0.0062392
63700,0.0062489
63800,0.0062565
63900,0.0062662
64000,0.0062763
64100,0.006286
64200,0.0062958
64300,0.0063033
64400,0.006313
64500,0.0063228
64600,0.0063388
64700,0.0063466
64800,0.0063564
64900,0.0063663
65000,0.0063762
65100,0.006386
65200,0.0063935
65300,0.0064034
65400,0.0064132
65500,0.0064233
65600,0.0064308
65700,0.0064407
65800,0.0064504
65900,0.0064603
66000,0.0064702
66100,0.0064777
66200,0.0064877
66300,0.0064985
66400,0.0065083
66500,0.006516
66600,0.0065265
66700,0.0065362
66800,0.0065463
66900,0.0065563
67000,0.0065638
67100,0.0065738
67200,0.0065835
67300,0.0065932
67400,0.0066029
67500,0.0066104
67600,0.0066203
67700,0.0066301
67800,0.0066398
67900,0.0066473
68000,0.0066571
68100,0.0066681
68200,0.0066796
68300,0.0066903
68400,0.0066998
68500,0.00671
68600,0.0067198
68700,0.0067296
68800,0.0067372
68900,0.0067524
69000,0.0067624
69100,0.0067722
69200,0.006787
69300,0.0067948
69400,0.0068049
69500,0.0068151
69600,0.0068249
69700,0.0068324
69800,0.0068422
69900,0.0068519
70000,0.006862
70100,0.0068718
70200,0.0068794
70300,0.0068893
70400,0.006899
70500,0.0069088
70600,0.0069186
70700,0.0069261
70800,0.0069358
70900,0.0069456
71000,0.0069553
71100,0.0069629
71200,0.0069728
71300,0.0069826
71400,0.0069925
71500,0.0070023
71600,0.0070098
71700,0.0070197
71800,0.0070294
71900,0.0070391
72000,0.0070466
72100,0.0070563
72200,0.0070661
72300,0.0070758
72400,0.0070855
72500,0.0070931
72600,0.0071027
72700,0.0071125
72800,0.0071223
72900,0.0071298
73000,0.0071395
73100,0.007155
73200,0.0071651
73300,0.0071749
73400,0.0071824
73500,0.0071934
73600,0.0072032
73700,0.0072133
73800,0.0072232
73900,0.0072314
74000,0.0072413
74100,0.0072512
74200,0.007261
74300,0.0072686
74400,0.0072789
74500,0.0072888
74600,0.0072985
74700,0.0073083
74800,0.0073159
74900,0.0073257
75000,0.0073354
75100,0.0073455
75200,0.0073531
75300,0.0073629
75400,0.0073728
75500,0.0073826
75600,0.0073928
75700,0.0074005
75800,0.0074103
75900,0.0074201
76000,0.0074299
76100,0.0074374
76200,0.0074471
76300,0.0074569
76400,0.0074666
76500,0.0074765
76600,0.007484
76700,0.0074939
76800,0.0075036
76900,0.0075133
77000,0.007523
77100,0.0075306
77200,0.0075403
77300,0.0075552
77400,0.0075652
77500,0.0075728
77600,0.0075826
77700,0.0075924
77800,0.0076022
77900,0.0076121
78000,0.00762
78100,0.0076346
78200,0.0076467
78300,0.0076564
78400,0.0076639
78500,0.0076735
78600,0.0076832
78700,0.0076928
78800,0.0077025
78900,0.00771
79000,0.0077196
79100,0.0077294
79200,0.007739
79300,0.0077465
79400,0.007756
79500,0.0077656
79600,0.0077764
79700,0.0077894
79800,0.0077992
79900,0.0078092
80000,0.007819
80100,0.0078289
80200,0.0078387
80300,0.0078465
80400,0.0078563
80500,0.0078661
80600,0.0078759
80700,0.0078834
80800,0.007893
80900,0.0079027
81000,0.0079124
81100,0.0079221
81200,0.0079296
81300,0.0079396
81400,0.0079492
81500,0.0079645
81600,0.0079721
81700,0.0079821
81800,0.0079918
81900,0.0080016
82000,0.0080113
82100,0.0080188
82200,0.0080284
82300,0.0080381
82400,0.0080477
82500,0.0080553
82600,0.0080652
82700,0.008075
82800,0.0080847
82900,0.0080945
83000,0.0081021
83100,0.0081118
83200,0.0081218
83300,0.0081316
83400,0.0081414
83500,0.0081488
83600,0.0081587
83700,0.0081683
83800,0.0081779
83900,0.0081854
84000,0.0081951
84100,0.0082051
84200,0.0082147
84300,0.0082244
84400,0.0082318
84500,0.0082414
84600,0.0082511
84700,0.0082608
84800,0.0082682
84900,0.0082782
85000,0.0082878
85100,0.0082975
85200,0.0083073
85300,0.0083148
85400,0.0083246
85500,0.0083342
85600,0.0083438
85700,0.0083514
85800,0.0083664
85900,0.0083763
86000,0.0083862
86100,0.0083961
86200,0.0084036
86300,0.0084135
86400,0.0084231
86500,0.0084328
86600,0.0084433
86700,0.0084509
86800,0.0084608
86900,0.0084706
87000,0.0084803
87100,0.0084878
87200,0.0084975
87300,0.0085072
87400,0.0085169
87500,0.0085268
87600,0.0085343
87700,0.0085439
87800,0.0085535
87900,0.0085632
88000,0.0085707
88100,0.0085804
88200,0.0085901
88300,0.0085997
88400,0.0086093
88500,0.0086168
88600,0.0086264
88700,0.0086363
88800,0.0086459
88900,0.0086536
89000,0.0086635
89100,0.0086754
89200,0.0086858
89300,0.0086982
89400,0.0087064
89500,0.0087184
89600,0.0087282
89700,0.0087383
89800,0.0087485
89900,0.0087561
90000,0.0087717
90100,0.0087838
90200,0.0088036
90300,0.0088154
90400,0.0088254
90500,0.0088355
90600,0.0088455
90700,0.0088556
90800,0.0088635
90900,0.0088734
91000,0.0088831
91100,0.0088928
91200,0.0089003
91300,0.00891
91400,0.0089198
91500,0.0089295
91600,0.0089393
91700,0.0089468
91800,0.0089564
91900,0.0089664
92000,0.0089762
92100,0.0089837
92200,0.0089942
92300,0.0090042
92400,0.0090138
92500,0.0090234
92600,0.0090308
92700,0.0090408
92800,0.0090507
92900,0.0090604
93000,0.0090703
93100,0.0090778
93200,0.0090875
93300,0.0090972
93400,0.0091069
93500,0.0091142
93600,0.0091245
93700,0.0091341
93800,0.0091438
93900,0.0091533
94000,0.0091608
94100,0.0091705
94200,0.0091884
94300,0.0091986
94400,0.0092063
94500,0.0092161
94600,0.0092259
94700,0.0092356
94800,0.0092454
94900,0.009253
95000,0.0092628
95100,0.0092726
95200,0.0092823
95300,0.0092899
95400,0.0092997
95500,0.00931
95600,0.0093197
95700,0.0093294
95800,0.009337
95900,0.0093467
96000,0.0093564
96100,0.0093661
96200,0.0093759
96300,0.0093834
96400,0.0093931
96500,0.0094028
96600,0.0094126
96700,0.0094201
96800,0.0094299
96900,0.0094396
97000,0.0094494
97100,0.0094591
97200,0.0094666
97300,0.0094764
97400,0.0094862
97500,0.009496
97600,0.0095035
97700,0.0095132
97800,0.0095229
97900,0.0095327
98000,0.0095424
98100,0.009551
98200,0.0095607
98300,0.0095705
98400,0.0095854
98500,0.0095931
98600,0.0096031
98700,0.0096129
98800,0.0096227
98900,0.0096325
99000,0.00964
99100,0.00965
99200,0.0096603
99300,0.00967
99400,0.0096798
99500,0.0096873
99600,0.009697
