n,time(seconds)
100,2.9044e-05
200,6.2336e-05
300,8.822e-05
400,0.000113424
500,0.000138269
600,0.000164507
700,0.000191424
800,0.000216491
900,0.000241883
1000,0.000266554
1100,0.000294612
1200,0.000340111
1300,0.000371112
1400,0.000397514
1500,0.000424672
1600,0.00045143
1700,0.000477839
1800,0.000508279
1900,0.000535004
2000,0.000561465
2100,0.000590517
2200,0.000618824
2300,0.000646419
2400,0.000672865
2500,0.000700457
2600,0.000728597
2700,0.000756499
2800,0.00078406
2900,0.000812065
3000,0.000838911
3100,0.000866125
3200,0.000893572
3300,0.000920913
3400,0.000948371
3500,0.000975169
3600,0.00100297
3700,0.00103123
3800,0.00105853
3900,0.00108581
4000,0.00111262
4100,0.00114223
4200,0.00117248
4300,0.0012017
4400,0.00123174
4500,0.00126037
4600,0.00128879
4700,0.00133422
4800,0.00136938
4900,0.00139865
5000,0.0014271
5100,0.00145631
5200,0.00148534
5300,0.00151402
5400,0.00154333
5500,0.00157199
5600,0.0015997
5700,0.00162927
5800,0.00165779
5900,0.00168661
6000,0.00171549
6100,0.00174308
6200,0.00177171
6300,0.0017998
6400,0.00182973
6500,0.00185844
6600,0.00188784
6700,0.00191693
6800,0.00194681
6900,0.001976
7000,0.00200469
7100,0.0020328
7200,0.00206149
7300,0.00209079
7400,0.0021193
7500,0.00214887
7600,0.00217753
7700,0.00220632
7800,0.00223535
7900,0.0022639
8000,0.00229145
8100,0.00233823
8200,0.00237928
8300,0.00241118
8400,0.0024415
8500,0.00247174
8600,0.00250148
8700,0.00253166
8800,0.00256207
8900,0.00259204
9000,0.00262132
9100,0.00265168
9200,0.00268225
9300,0.00271132
9400,0.00274127
9500,0.00277055
9600,0.00279958
9700,0.00282929
9800,0.00285965
9900,0.00288927
10000,0.00291882
10100,0.00294807
10200,0.00297778
10300,0.00300682
10400,0.0030359
10500,0.00306624
10600,0.00309592
10700,0.00312565
10800,0.00315581
10900,0.00318606
11000,0.00321531
11100,0.00324532
11200,0.00327538
11300,0.00331399
11400,0.00334974
11500,0.00338095
11600,0.00341112
11700,0.00344016
11800,0.0034699
11900,0.00350051
12000,0.00352921
12100,0.00355967
12200,0.00358947
12300,0.00361977
12400,0.00364967
12500,0.00367879
12600,0.00370877
12700,0.00373878
12800,0.0037693
12900,0.00379897
13000,0.00382862
13100,0.00385818
13200,0.00388858
13300,0.00391751
13400,0.00394811
13500,0.00397869
13600,0.00400939
13700,0.00403878
13800,0.00406829
13900,0.00409864
14000,0.00412751
14100,0.00415703
14200,0.00418691
14300,0.00421605
14400,0.00424549
14500,0.00427584
14600,0.00431123
14700,0.00434181
14800,0.00437076
14900,0.00440082
15000,0.00443008
15100,0.00445887
15200,0.00448795
15300,0.0045179
15400,0.00454737
15500,0.00457723
15600,0.00460671
15700,0.004637
15800,0.0046665
15900,0.00469568
16000,0.00472602
16100,0.00475615
16200,0.00478515
16300,0.00481411
16400,0.00485169
16500,0.00488631
16600,0.00491817
16700,0.00494993
16800,0.00498069
16900,0.00501162
17000,0.00504364
17100,0.0050749
17200,0.00510645
17300,0.0051377
17400,0.00516912
17500,0.0052008
17600,0.00523182
17700,0.00526356
17800,0.00529507
17900,0.00534087
18000,0.00537769
18100,0.00540999
18200,0.00544112
18300,0.00547192
18400,0.00550349
18500,0.00553382
18600,0.00556481
18700,0.00559612
18800,0.00562693
18900,0.0056578
19000,0.00568943
19100,0.00572095
19200,0.0057518
19300,0.00578278
19400,0.00581381
19500,0.00584434
19600,0.00587544
19700,0.00590594
19800,0.0059362
19900,0.00596719
20000,0.00599821
20100,0.00602909
20200,0.00606028
20300,0.00609128
20400,0.00612193
20500,0.00615311
20600,0.00618465
20700,0.00621607
20800,0.00624693
20900,0.00627766
21000,0.00631886
21100,0.00635698
21200,0.00638955
21300,0.00642083
21400,0.00645203
21500,0.00648246
21600,0.00651433
21700,0.00654488
21800,0.0065753
21900,0.0066057
22000,0.00663617
22100,0.00666827
22200,0.00669891
22300,0.00672938
22400,0.00675967
22500,0.00678948
22600,0.00682015
22700,0.00685147
22800,0.00688205
22900,0.00691301
23000,0.00694404
23100,0.00697534
23200,0.00700555
23300,0.00703616
23400,0.00706772
23500,0.00709826
23600,0.0071296
23700,0.00716148
23800,0.00719256
23900,0.00722342
24000,0.00725437
24100,0.00728553
24200,0.0073281
24300,0.00736269
24400,0.00739391
24500,0.00742563
24600,0.00745593
24700,0.00748697
24800,0.00752411
24900,0.00755738
25000,0.00758852
25100,0.00761924
25200,0.00765187
25300,0.00768305
25400,0.00771386
25500,0.0077452
25600,0.0077763
25700,0.00781228
25800,0.00784502
25900,0.00787655
26000,0.007908
26100,0.00793933
26200,0.00797142
26300,0.00800306
26400,0.00803412
26500,0.00806617
26600,0.00809658
26700,0.00812687
26800,0.00815795
26900,0.00818912
27000,0.00821967
27100,0.00825016
27200,0.00828051
27300,0.0083186
27400,0.00835111
27500,0.00838232
27600,0.00841378
27700,0.00844462
27800,0.0084756
27900,0.0085075
28000,0.00853812
28100,0.00856843
28200,0.0085994
28300,0.00863169
28400,0.00866247
28500,0.00869301
28600,0.00872361
28700,0.00875374
28800,0.00878462
28900,0.00881511
29000,0.0088526
29100,0.0088851
29200,0.00891644
29300,0.0089474
29400,0.00897836
29500,0.00900962
29600,0.0090407
29700,0.00907174
29800,0.00910351
29900,0.00913405
30000,0.00916515
30100,0.00919586
30200,0.00922727
30300,0.00925879
30400,0.00928833
30500,0.0093388
30600,0.00937622
30700,0.00940621
30800,0.00943789
30900,0.00946877
31000,0.00950052
31100,0.00953168
31200,0.00956292
31300,0.00959407
31400,0.00962469
31500,0.00965606
31600,0.00968668
31700,0.00971753
31800,0.00974859
31900,0.00978078
32000,0.0098119
32100,0.00984307
32200,0.00987413
32300,0.00990547
32400,0.00993674
32500,0.00996767
32600,0.00999827
32700,0.0100294
32800,0.0100815
32900,0.0101155
33000,0.0101476
33100,0.01018
33200,0.0102124
33300,0.0102446
33400,0.0102784
33500,0.0103258
33600,0.010364
33700,0.0103974
33800,0.0104297
33900,0.0104626
34000,0.0104946
34100,0.0105267
34200,0.0105593
34300,0.0105917
34400,0.0106253
34500,0.010658
34600,0.0106907
34700,0.0107228
34800,0.0107544
34900,0.0107873
35000,0.0108198
35100,0.0108528
35200,0.0108858
35300,0.0109181
35400,0.0109507
35500,0.0109839
35600,0.0110161
35700,0.0110482
35800,0.0110816
35900,0.0111142
36000,0.0111467
36100,0.0111795
36200,0.0112115
36300,0.0112441
36400,0.0112765
36500,0.0113202
36600,0.0113564
36700,0.0113885
36800,0.0114213
36900,0.0114543
37000,0.0114871
37100,0.0115193
37200,0.0115517
37300,0.011584
37400,0.0116159
37500,0.0116487
37600,0.0116806
37700,0.0117131
37800,0.0117466
37900,0.0117788
38000,0.0118109
38100,0.0118434
38200,0.0118756
38300,0.0119126
38400,0.0119468
38500,0.0119802
38600,0.0120132
38700,0.0120446
38800,0.0120766
38900,0.0121085
39000,0.0121403
39100,0.0121732
39200,0.0122057
39300,0.0122378
39400,0.0122692
39500,0.0123094
39600,0.0123474
39700,0.0123807
39800,0.0124139
39900,0.0124465
40000,0.0124782
40100,0.0125108
40200,0.0125431
40300,0.0125754
40400,0.0126071
40500,0.012639
40600,0.0126716
40700,0.0127038
40800,0.0127354
40900,0.0127674
41000,0.0127997
41100,0.0128313
41200,0.0128637
41300,0.0128953
41400,0.0129268
41500,0.0129584
41600,0.01299
41700,0.0130226
41800,0.0130546
41900,0.0130875
42000,0.013119
42100,0.0131517
42200,0.0131846
42300,0.0132167
42400,0.0132485
42500,0.0132799
42600,0.0133323
42700,0.0133701
42800,0.0134037
42900,0.0134359
43000,0.0134675
43100,0.0135007
43200,0.0135337
43300,0.0135663
43400,0.013599
43500,0.0136321
43600,0.0136649
43700,0.0136971
43800,0.0137292
43900,0.0137613
44000,0.0137937
44100,0.0138258
44200,0.0138579
44300,0.01389
44400,0.013922
44500,0.0139542
44600,0.0139866
44700,0.0140188
44800,0.0140508
44900,0.014084
45000,0.0141158
45100,0.0141479
45200,0.0141801
45300,0.0142118
45400,0.0142443
45500,0.0142783
45600,0.0143233
45700,0.0143622
45800,0.0143957
45900,0.0144283
46000,0.0144605
46100,0.0144923
46200,0.0145255
46300,0.0145575
46400,0.0145902
46500,0.014623
46600,0.0146542
46700,0.0146884
46800,0.0147204
46900,0.0147536
47000,0.0147856
47100,0.0148179
47200,0.0148503
47300,0.0148829
47400,0.0149149
47500,0.0149475
47600,0.0149803
47700,0.0150128
47800,0.0150453
47900,0.0150769
48000,0.015109
48100,0.0151417
48200,0.0151737
48300,0.0152056
48400,0.015237
48500,0.0152689
48600,0.0153076
48700,0.0153476
48800,0.015384
48900,0.0154163
49000,0.0154491
49100,0.0154811
49200,0.0155133
49300,0.0155457
49400,0.0155779
49500,0.01561
49600,0.0156426
49700,0.015675
49800,0.0157081
49900,0.0157401
50000,0.0157726
50100,0.0158103
50200,0.0158441
50300,0.0158771
50400,0.0159103
50500,0.015943
50600,0.0159755
50700,0.0160081
50800,0.0160413
50900,0.0160734
51000,0.0161061
51100,0.0161374
51200,0.0161698
51300,0.016202
51400,0.0162356
51500,0.016268
51600,0.0163082
51700,0.0163446
51800,0.016379
51900,0.0164118
52000,0.0164458
52100,0.016478
52200,0.0165106
52300,0.0165424
52400,0.0165751
52500,0.0166071
52600,0.0166398
52700,0.016672
52800,0.016706
52900,0.0167385
53000,0.016771
53100,0.0168037
53200,0.0168354
53300,0.0168678
53400,0.0168994
53500,0.0169307
53600,0.0169636
53700,0.0169967
53800,0.01703
53900,0.0170634
54000,0.0170962
54100,0.0171286
54200,0.0171606
54300,0.0171916
54400,0.0172241
54500,0.017257
54600,0.0172897
54700,0.017338
54800,0.0173754
54900,0.0174088
55000,0.0174414
55100,0.0174736
55200,0.0175071
55300,0.0175396
55400,0.0175726
55500,0.017606
55600,0.0176385
55700,0.0176698
55800,0.0177029
55900,0.0177356
56000,0.0177681
56100,0.0178007
56200,0.0178325
56300,0.0178654
56400,0.0178975
56500,0.0179307
56600,0.0179625
56700,0.0179944
56800,0.0180269
56900,0.0180589
57000,0.0180913
57100,0.0181238
57200,0.0181555
57300,0.0181894
57400,0.0182219
57500,0.0182558
57600,0.0182873
57700,0.0183364
57800,0.0183721
57900,0.0184039
58000,0.0184374
58100,0.0184705
58200,0.0185022
58300,0.0185352
58400,0.0185664
58500,0.0185989
58600,0.0186308
58700,0.0186637
58800,0.0186956
58900,0.0187278
59000,0.0187604
59100,0.0187934
59200,0.018826
59300,0.0188589
59400,0.0188915
59500,0.0189241
59600,0.0189572
59700,0.0189898
59800,0.0190223
59900,0.0190545
60000,0.0190874
60100,0.0191199
60200,0.0191515
60300,0.0191841
60400,0.0192156
60500,0.0192478
60600,0.0192797
60700,0.0193226
60800,0.0193567
60900,0.0193893
61000,0.0194218
61100,0.0194537
61200,0.0194872
61300,0.0195196
61400,0.019552
61500,0.0195845
61600,0.0196169
61700,0.0196488
61800,0.0196819
61900,0.0197142
62000,0.0197467
62100,0.0197794
62200,0.0198115
62300,0.019848
62400,0.0198819
62500,0.0199149
62600,0.0199479
62700,0.0199806
62800,0.0200128
62900,0.0200469
63000,0.0200785
63100,0.0201116
63200,0.0201436
63300,0.0201758
63400,0.020208
63500,0.02024
63600,0.0202731
63700,0.0203149
63800,0.0203506
63900,0.0203825
64000,0.0204151
64100,0.0204478
64200,0.0204804
64300,0.0205131
64400,0.0205446
64500,0.020577
64600,0.0206096
64700,0.0206419
64800,0.0206738
64900,0.0207067
65000,0.0207393
65100,0.0207723
65200,0.0208038
65300,0.0208363
65400,0.0208752
65500,0.0209108
65600,0.020971
65700,0.0210066
65800,0.0210411
65900,0.0210758
66000,0.0211104
66100,0.0211456
66200,0.0211793
66300,0.0212125
66400,0.0212461
66500,0.0212802
66600,0.0213302
66700,0.0213718
66800,0.0214056
66900,0.0214383
67000,0.0214723
67100,0.0215049
67200,0.0215398
67300,0.0215733
67400,0.0216081
67500,0.0216424
67600,0.0216761
67700,0.0217105
67800,0.0217449
67900,0.0217786
68000,0.0218114
68100,0.0218461
68200,0.0218848
68300,0.0219194
68400,0.0219531
68500,0.0219868
68600,0.0220204
68700,0.0220558
68800,0.0220892
68900,0.0221231
69000,0.0221561
69100,0.02219
69200,0.0222237
69300,0.0222567
69400,0.0222905
69500,0.0223462
69600,0.0223843
69700,0.0224175
69800,0.0224517
69900,0.0224859
70000,0.0225206
70100,0.0225534
70200,0.0225879
70300,0.0226224
70400,0.0226553
70500,0.022689
70600,0.0227221
70700,0.0227557
70800,0.0227894
70900,0.0228232
71000,0.022858
71100,0.0228918
71200,0.0229247
71300,0.0229591
71400,0.0229926
71500,0.0230263
71600,0.0230606
71700,0.0230946
71800,0.023128
71900,0.0231638
72000,0.023198
72100,0.0232313
72200,0.023264
72300,0.0232982
72400,0.023344
72500,0.02338
72600,0.0234131
72700,0.023447
72800,0.0234817
72900,0.0235155
73000,0.0235493
73100,0.0235832
73200,0.0236175
73300,0.0236519
73400,0.0236857
73500,0.02372
73600,0.0237529
73700,0.0237851
73800,0.0238247
73900,0.0238606
74000,0.0238941
74100,0.0239281
74200,0.0239615
74300,0.0239958
74400,0.0240291
74500,0.0240627
74600,0.0240965
74700,0.0241314
74800,0.0241647
74900,0.0241988
75000,0.0242323
75100,0.024266
75200,0.0243108
75300,0.0243496
75400,0.0243845
75500,0.0244176
75600,0.0244518
75700,0.0244851
75800,0.0245181
75900,0.0245566
76000,0.02459
76100,0.0246234
76200,0.0246573
76300,0.0246909
76400,0.0247256
76500,0.0247595
76600,0.0247933
76700,0.024827
76800,0.0248603
76900,0.0248941
77000,0.0249271
77100,0.0249608
77200,0.0249944
77300,0.0250277
77400,0.0250615
77500,0.0250949
77600,0.025128
77700,0.0251614
77800,0.0251948
77900,0.025228
78000,0.0252606
78100,0.0252945
78200,0.025348
78300,0.0253867
78400,0.0254202
78500,0.0254549
78600,0.0254885
78700,0.0255224
78800,0.0255559
78900,0.0255888
79000,0.025623
79100,0.0256566
79200,0.0256889
79300,0.0257218
79400,0.0257558
79500,0.0257898
79600,0.0258233
79700,0.0258567
79800,0.0258904
79900,0.0259247
80000,0.0259582
80100,0.0259915
80200,0.0260255
80300,0.0260585
80400,0.026092
80500,0.0261262
80600,0.0261593
80700,0.0261922
80800,0.0262256
80900,0.0262588
81000,0.0262932
81100,0.0263499
81200,0.02639
81300,0.026424
81400,0.0264587
81500,0.026493
81600,0.0265261
81700,0.0265592
81800,0.0265923
81900,0.0266255
82000,0.0266589
82100,0.0266924
82200,0.0267248
82300,0.0267587
82400,0.0267923
82500,0.0268269
82600,0.0268612
82700,0.0268951
82800,0.0269292
82900,0.0269629
83000,0.026997
83100,0.0270318
83200,0.0270661
83300,0.0270992
83400,0.0271316
83500,0.0271657
83600,0.0272004
83700,0.0272339
83800,0.0272681
83900,0.0273135
84000,0.0273571
84100,0.0273931
84200,0.0274263
84300,0.0274609
84400,0.0274946
84500,0.0275272
84600,0.0275617
84700,0.027595
84800,0.0276285
84900,0.0276628
85000,0.0276964
85100,0.0277301
85200,0.0277645
85300,0.0277981
85400,0.0278365
85500,0.0278716
85600,0.0279052
85700,0.0279391
85800,0.0279731
85900,0.0280066
86000,0.028041
86100,0.0282122
86200,0.0282845
86300,0.0283635
86400,0.0284323
86500,0.0284944
86600,0.0285566
86700,0.0286211
86800,0.0286834
86900,0.0287453
87000,0.0288152
87100,0.0288807
87200,0.0289422
87300,0.0290044
87400,0.029067
87500,0.0291293
87600,0.0291919
87700,0.029253
87800,0.0293447
87900,0.0294165
88000,0.0294818
88100,0.0295433
88200,0.0296073
88300,0.0296707
88400,0.0297327
88500,0.0297948
88600,0.029864
88700,0.0299305
88800,0.0299935
88900,0.0300555
89000,0.0301172
89100,0.0301799
89200,0.030242
89300,0.0303161
89400,0.030398
89500,0.0304647
89600,0.0305274
89700,0.0305894
89800,0.0306507
89900,0.0307114
90000,0.0307719
90100,0.030832
90200,0.0308924
90300,0.0309543
90400,0.031016
