n,time(seconds)
100,1.8138e-05
200,4.6499e-05
300,7.0771e-05
400,9.1288e-05
500,0.00011028
600,0.000134969
700,0.000156404
800,0.000176683
900,0.000196775
1000,0.000217064
1100,0.000251433
1200,0.000274406
1300,0.000295127
1400,0.000316835
1500,0.000337651
1600,0.000358471
1700,0.000379008
1800,0.000399901
1900,0.000420841
2000,0.000441863
2100,0.000471463
2200,0.000494976
2300,0.000516831
2400,0.000538703
2500,0.000561568
2600,0.000582975
2700,0.00060508
2800,0.000628036
2900,0.000649705
3000,0.000674649
3100,0.00069707
3200,0.000719048
3300,0.000741223
3400,0.000762649
3500,0.000783915
3600,0.00080571
3700,0.000827494
3800,0.000850273
3900,0.000872362
4000,0.000894504
4100,0.00094171
4200,0.00096681
4300,0.0009898
4400,0.00101281
4500,0.00103541
4600,0.00105797
4700,0.0010809
4800,0.00110347
4900,0.00112636
5000,0.00114843
5100,0.0011737
5200,0.00119628
5300,0.00121919
5400,0.00124817
5500,0.00127174
5600,0.00129455
5700,0.00131726
5800,0.00133961
5900,0.00136327
6000,0.00138625
6100,0.00141468
6200,0.00143785
6300,0.00146073
6400,0.00148361
6500,0.00150604
6600,0.00152775
6700,0.00155033
6800,0.00157304
6900,0.00159604
7000,0.00161855
7100,0.00164442
7200,0.00166723
7300,0.0016899
7400,0.00171233
7500,0.00173498
7600,0.00175756
7700,0.00178006
7800,0.00180276
7900,0.00182476
8000,0.00184747
8100,0.00187042
8200,0.0019164
8300,0.00194179
8400,0.0019649
8500,0.00198867
8600,0.00201249
8700,0.00203601
8800,0.00205928
8900,0.00208309
9000,0.00210675
9100,0.00213032
9200,0.00215623
9300,0.0021809
9400,0.00220448
9500,0.00223391
9600,0.00225957
9700,0.00228297
9800,0.0023063
9900,0.00233063
10000,0.00235452
10100,0.0023778
10200,0.00240645
10300,0.00243134
10400,0.0024553
10500,0.00247833
10600,0.00250185
10700,0.00252439
10800,0.00254747
10900,0.00257137
11000,0.0025956
11100,0.00261918
11200,0.00264517
11300,0.00266914
11400,0.00269243
11500,0.00271578
11600,0.00273958
11700,0.00276266
11800,0.00278536
11900,0.00280878
12000,0.00283271
12100,0.00285564
12200,0.00287861
12300,0.00290421
12400,0.00292784
12500,0.00295078
12600,0.0029739
12700,0.0029979
12800,0.00302094
12900,0.00304425
13000,0.00306795
13100,0.00309076
13200,0.00311375
13300,0.00313934
13400,0.00316298
13500,0.00318595
13600,0.00320955
13700,0.00323836
13800,0.00326222
13900,0.00328552
14000,0.00330846
14100,0.0033323
14200,0.00335694
14300,0.00338317
14400,0.00340611
14500,0.00342961
14600,0.00345377
14700,0.00347717
14800,0.00350052
14900,0.00352392
15000,0.00354705
15100,0.00357055
15200,0.00359355
15300,0.00361931
15400,0.00364257
15500,0.00366628
15600,0.00368956
15700,0.00371304
15800,0.00373645
15900,0.00376022
16000,0.00378329
16100,0.00380679
16200,0.00383006
16300,0.0038534
16400,0.00394106
16500,0.00396906
16600,0.00399333
16700,0.00403601
16800,0.00406674
16900,0.00410291
17000,0.00412705
17100,0.00415079
17200,0.00417555
17300,0.00419986
17400,0.00422516
17500,0.00426104
17600,0.00428599
17700,0.00431013
17800,0.00433409
17900,0.00435859
18000,0.00438275
18100,0.00440687
18200,0.00443245
18300,0.00445687
18400,0.00448122
18500,0.00450812
18600,0.00453375
18700,0.0045584
18800,0.0045827
18900,0.00460698
19000,0.00463122
19100,0.00465532
19200,0.00468009
19300,0.00470448
19400,0.00472939
19500,0.00475673
19600,0.0047812
19700,0.00480541
19800,0.00483015
19900,0.00485407
20000,0.00487842
20100,0.00490251
20200,0.00492648
20300,0.00495102
20400,0.00497574
20500,0.00500315
20600,0.00502769
20700,0.00505231
20800,0.00507685
20900,0.00510137
21000,0.00512583
21100,0.00514996
21200,0.00517427
21300,0.0051988
21400,0.005224
21500,0.00528606
21600,0.00531984
21700,0.00534448
21800,0.0053686
21900,0.00539321
22000,0.0054178
22100,0.00544696
22200,0.00547181
22300,0.00549719
22400,0.00552202
22500,0.00554729
22600,0.00557542
22700,0.00560074
22800,0.00562525
22900,0.00564951
23000,0.00567418
23100,0.00569841
23200,0.00572267
23300,0.00574716
23400,0.00577126
23500,0.0057956
23600,0.00582229
23700,0.00584739
23800,0.00587199
23900,0.0058968
24000,0.00592163
24100,0.00594736
24200,0.00597159
24300,0.00599599
24400,0.00602141
24500,0.00604636
24600,0.00607374
24700,0.00610333
24800,0.00612822
24900,0.00615331
25000,0.00617821
25100,0.00620263
25200,0.00622674
25300,0.00639328
25400,0.00641822
25500,0.0064423
25600,0.00647106
25700,0.00649671
25800,0.00652139
25900,0.00654579
26000,0.00657003
26100,0.00659437
26200,0.00661888
26300,0.00664309
26400,0.00666763
26500,0.00669204
26600,0.00671671
26700,0.00674474
26800,0.00676919
26900,0.00679436
27000,0.00681925
27100,0.00684438
27200,0.00686876
27300,0.00689379
27400,0.00691832
27500,0.00694264
27600,0.00696725
27700,0.00699549
27800,0.00701993
27900,0.00704412
28000,0.00706884
28100,0.00709355
28200,0.00711836
28300,0.00714324
28400,0.0071671
28500,0.00719255
28600,0.00721775
28700,0.00725821
28800,0.00728749
28900,0.00731376
29000,0.0073386
29100,0.00736315
29200,0.00738741
29300,0.00741176
29400,0.00743606
29500,0.00746076
29600,0.00748481
29700,0.00751288
29800,0.00753804
29900,0.00756245
30000,0.0075869
30100,0.00761103
30200,0.00763546
30300,0.0076591
30400,0.00768307
30500,0.00770822
30600,0.00773286
30700,0.00775824
30800,0.00778669
30900,0.00781209
31000,0.00783631
31100,0.00786127
31200,0.00788618
31300,0.00791131
31400,0.00793719
31500,0.00796217
31600,0.0079864
31700,0.00801097
31800,0.00803875
31900,0.00806367
32000,0.00808858
32100,0.00811318
32200,0.00813702
32300,0.00816193
32400,0.00818644
32500,0.00821077
32600,0.00824467
32700,0.00827036
32800,0.00841336
32900,0.00844443
33000,0.00847016
33100,0.00849558
33200,0.00852103
33300,0.00854736
33400,0.00857276
33500,0.00859851
33600,0.00862374
33700,0.00864972
33800,0.00867806
33900,0.00870439
34000,0.00872911
34100,0.0087544
34200,0.00877998
34300,0.00880514
34400,0.00883042
34500,0.00885598
34600,0.00888217
34700,0.00890751
34800,0.00893329
34900,0.00896064
35000,0.00898627
35100,0.0090116
35200,0.00903662
35300,0.00906209
35400,0.00908818
35500,0.00911358
35600,0.00913985
35700,0.00916486
35800,0.00919066
35900,0.00921792
36000,0.00926062
36100,0.00929117
36200,0.00932881
36300,0.00935623
36400,0.00938284
36500,0.00940945
36600,0.00943564
36700,0.00946236
36800,0.00948912
36900,0.00951763
37000,0.00954441
37100,0.00957041
37200,0.00959692
37300,0.00962391
37400,0.00965012
37500,0.00967614
37600,0.00970253
37700,0.00973004
37800,0.00975634
37900,0.00978424
38000,0.0098111
38100,0.00983734
38200,0.00986394
38300,0.00988985
38400,0.00991651
38500,0.00994364
38600,0.00996994
38700,0.00999638
38800,0.0100234
38900,0.0100503
39000,0.0100793
39100,0.0101061
39200,0.0101326
39300,0.0101583
39400,0.0101848
39500,0.0102112
39600,0.0102419
39700,0.0102696
39800,0.0102965
39900,0.0103237
40000,0.0103519
40100,0.0103788
40200,0.0104054
40300,0.010432
40400,0.0104585
40500,0.0104852
40600,0.0105121
40700,0.0105385
40800,0.010565
40900,0.0105919
41000,0.0106206
41100,0.0106466
41200,0.010673
41300,0.0106997
41400,0.0107256
41500,0.0107511
41600,0.0107775
41700,0.0108043
41800,0.0108307
41900,0.010857
42000,0.0108856
42100,0.0109129
42200,0.0109388
42300,0.0109651
42400,0.0109918
42500,0.0110186
42600,0.0110453
42700,0.0110712
42800,0.0110972
42900,0.0111235
43000,0.0111499
43100,0.0111776
43200,0.0112043
43300,0.0112489
43400,0.0112815
43500,0.0113099
43600,0.0113361
43700,0.0113629
43800,0.0113889
43900,0.0114151
44000,0.0114418
44100,0.0114709
44200,0.0114983
44300,0.0115245
44400,0.0115507
44500,0.011577
44600,0.0116038
44700,0.0116303
44800,0.0116561
44900,0.0116825
45000,0.0117094
45100,0.011738
45200,0.0117642
45300,0.0117902
45400,0.011817
45500,0.0118426
45600,0.0118687
45700,0.011895
45800,0.0119214
45900,0.0119478
46000,0.0119745
46100,0.012003
46200,0.01203
46300,0.012057
46400,0.0120838
46500,0.0121104
46600,0.0121365
46700,0.012163
46800,0.01219
46900,0.0122164
47000,0.012256
47100,0.0122898
47200,0.0123283
47300,0.0123562
47400,0.0123836
47500,0.0124114
47600,0.0124386
47700,0.0124656
47800,0.0124933
47900,0.0125209
48000,0.012549
48100,0.0125761
48200,0.0126107
48300,0.0126391
48400,0.0126666
48500,0.0126937
48600,0.0127213
48700,0.0127491
48800,0.0127769
48900,0.012804
49000,0.0128324
49100,0.0128603
49200,0.0128901
49300,0.012919
49400,0.0129467
49500,0.0129739
49600,0.0130106
49700,0.013038
49800,0.0130654
49900,0.0130935
50000,0.0131212
50100,0.013148
50200,0.0131765
