n,time(seconds)
100,2.5024e-05
200,7.9466e-05
300,0.000146101
400,0.000240819
500,0.000348168
600,0.000496249
700,0.000642958
800,0.000835103
900,0.00106036
1000,0.00130745
1100,0.00158413
1200,0.00191222
1300,0.00226221
1400,0.00267882
1500,0.00312779
1600,0.00361761
1700,0.00413925
1800,0.00479554
1900,0.00545758
2000,0.00607892
2100,0.00687701
2200,0.00772817
2300,0.00854363
2400,0.00933455
2500,0.0101386
2600,0.0111008
2700,0.0120457
2800,0.0131724
2900,0.0142115
3000,0.0153914
3100,0.0165257
3200,0.0176855
3300,0.0188322
3400,0.0200849
3500,0.0213643
3600,0.0227898
3700,0.0242017
3800,0.0256749
3900,0.0272786
4000,0.0288773
4100,0.0305801
4200,0.0323403
4300,0.0341277
4400,0.0359265
4500,0.0375416
4600,0.039616
4700,0.0417464
4800,0.0437323
4900,0.045819
5000,0.0475681
5100,0.0498881
5200,0.0520603
5300,0.0544101
5400,0.0570332
5500,0.0596076
5600,0.0617829
5700,0.0644645
5800,0.0672507
5900,0.0704633
6000,0.0734318
6100,0.0765006
6200,0.0797564
6300,0.0828242
6400,0.0858515
6500,0.0892202
6600,0.0924409
6700,0.0959215
6800,0.0990771
6900,0.102565
7000,0.105797
7100,0.109414
7200,0.112851
7300,0.116985
7400,0.120432
7500,0.124719
7600,0.128695
7700,0.132769
7800,0.136647
7900,0.140906
8000,0.14523
8100,0.149738
8200,0.153844
8300,0.158073
8400,0.163151
8500,0.167732
8600,0.172905
8700,0.177915
8800,0.182666
8900,0.188148
9000,0.193633
9100,0.199326
9200,0.205113
9300,0.211009
9400,0.217334
9500,0.223512
9600,0.229451
9700,0.236145
9800,0.243063
9900,0.249662
10000,0.255727
10100,0.2622
10200,0.269343
10300,0.275734
10400,0.282481
10500,0.289055
10600,0.296544
10700,0.303835
10800,0.311294
10900,0.318735
11000,0.325821
11100,0.333906
11200,0.342084
11300,0.349613
11400,0.357659
11500,0.365922
11600,0.373415
11700,0.381942
11800,0.390662
11900,0.398596
12000,0.407324
12100,0.415814
12200,0.424994
12300,0.433725
12400,0.442673
12500,0.45218
12600,0.461918
12700,0.472233
12800,0.482526
12900,0.493409
13000,0.50479
13100,0.513595
13200,0.524463
13300,0.534616
13400,0.54473
13500,0.555056
13600,0.56647
13700,0.576375
13800,0.586781
13900,0.597221
14000,0.607738
14100,0.618884
14200,0.630049
14300,0.641922
14400,0.653293
14500,0.665327
14600,0.676596
14700,0.688092
14800,0.69963
14900,0.711101
15000,0.722756
15100,0.735171
15200,0.74761
15300,0.760835
15400,0.772034
15500,0.783325
15600,0.795523
15700,0.806977
15800,0.81977
15900,0.831542
16000,0.843346
16100,0.856954
16200,0.871416
16300,0.884875
16400,0.898193
16500,0.911762
16600,0.925371
16700,0.938692
16800,0.953726
16900,0.968393
17000,0.983807
17100,0.999489
17200,1.01652
17300,1.0305
17400,1.04509
17500,1.06186
17600,1.07936
17700,1.09739
17800,1.11394
17900,1.13095
18000,1.14886
18100,1.16491
18200,1.18208
18300,1.19909
18400,1.21669
18500,1.23312
18600,1.24974
18700,1.26648
18800,1.28377
18900,1.29989
19000,1.31791
19100,1.33276
19200,1.34982
19300,1.36639
19400,1.38519
19500,1.40303
19600,1.42183
19700,1.43984
19800,1.45898
19900,1.47632
20000,1.49365
20100,1.51185
20200,1.52983
20300,1.54797
20400,1.56563
20500,1.58591
20600,1.60429
20700,1.6246
20800,1.6444
20900,1.66527
21000,1.68277
21100,1.70294
21200,1.72145
21300,1.74151
21400,1.76338
21500,1.78151
21600,1.80109
21700,1.82139
21800,1.84238
21900,1.86246
22000,1.88451
22100,1.90313
22200,1.92228
22300,1.94226
22400,1.9639
22500,1.98623
22600,2.00582
22700,2.02613
22800,2.04535
22900,2.06939
23000,2.09029
23100,2.11317
23200,2.13446
23300,2.15465
23400,2.18104
23500,2.20095
23600,2.22537
23700,2.2479
23800,2.27056
23900,2.29327
24000,2.31735
24100,2.34241
24200,2.36812
24300,2.39314
24400,2.41668
24500,2.44085
24600,2.46508
24700,2.4886
24800,2.51375
24900,2.53721
25000,2.56218
