n,time(seconds)
100,2.3338e-05
200,7.9408e-05
300,0.000153583
400,0.000242556
500,0.000374903
600,0.000515896
700,0.000682121
800,0.000873731
900,0.00110092
1000,0.0013217
1100,0.0015704
1200,0.001922
1300,0.00226397
1400,0.00271822
1500,0.00316252
1600,0.00370073
1700,0.00424643
1800,0.00485445
1900,0.00548088
2000,0.00625311
2100,0.00710649
2200,0.00792716
2300,0.00876369
2400,0.00966724
2500,0.0105902
2600,0.0116873
2700,0.0128166
2800,0.013866
2900,0.0148379
3000,0.0160118
3100,0.0171621
3200,0.0182913
3300,0.0196371
3400,0.0210812
3500,0.0224777
3600,0.0239612
3700,0.025581
3800,0.0269619
3900,0.028573
4000,0.0301522
4100,0.0319317
4200,0.0335501
4300,0.0353604
4400,0.0371013
4500,0.0388115
4600,0.0407812
4700,0.0429051
4800,0.0450032
4900,0.0473794
5000,0.0495729
5100,0.0517592
5200,0.0537339
5300,0.0560138
5400,0.0583499
5500,0.0608434
5600,0.0631244
5700,0.0658851
5800,0.068683
5900,0.0711025
6000,0.0738318
6100,0.0764963
6200,0.0792499
6300,0.0821156
6400,0.0851253
6500,0.0884819
6600,0.0922214
6700,0.0952908
6800,0.0987161
6900,0.102058
7000,0.105491
7100,0.108974
7200,0.112512
7300,0.116191
7400,0.12049
7500,0.124227
7600,0.128398
7700,0.13235
7800,0.136632
7900,0.140915
8000,0.145483
8100,0.150198
8200,0.154878
8300,0.159213
8400,0.16434
8500,0.169673
8600,0.175151
8700,0.180871
8800,0.186067
8900,0.191371
9000,0.196925
9100,0.202246
9200,0.207603
9300,0.213222
9400,0.218253
9500,0.224401
9600,0.230582
9700,0.236493
9800,0.242183
9900,0.248797
10000,0.255659
10100,0.261882
10200,0.268469
10300,0.27552
10400,0.282074
10500,0.289784
10600,0.297036
10700,0.305192
10800,0.313971
10900,0.321956
11000,0.329461
11100,0.337974
11200,0.346472
11300,0.356014
11400,0.363503
11500,0.370434
11600,0.379484
11700,0.388523
11800,0.397526
11900,0.407295
12000,0.416162
12100,0.424866
12200,0.434714
12300,0.442969
12400,0.45312
12500,0.463292
12600,0.472713
12700,0.482982
12800,0.494002
12900,0.505535
13000,0.516941
13100,0.52864
13200,0.539789
13300,0.550512
13400,0.562853
13500,0.576039
13600,0.587858
13700,0.600747
13800,0.61402
13900,0.624688
14000,0.636701
14100,0.649018
14200,0.662172
14300,0.676767
14400,0.688013
14500,0.701641
14600,0.714277
14700,0.727209
14800,0.741954
14900,0.754201
15000,0.767848
15100,0.781051
15200,0.79521
15300,0.809095
15400,0.823691
15500,0.837293
15600,0.852347
15700,0.867303
15800,0.881743
15900,0.894263
16000,0.909304
16100,0.92348
16200,0.937111
16300,0.951446
16400,0.966839
16500,0.984121
16600,1.00134
16700,1.01831
16800,1.03349
16900,1.04935
17000,1.06584
17100,1.08285
17200,1.10008
17300,1.11556
17400,1.13326
17500,1.1485
17600,1.16594
17700,1.18277
17800,1.19952
17900,1.21622
18000,1.23396
18100,1.25196
18200,1.26946
18300,1.2866
18400,1.30236
18500,1.32039
18600,1.33902
18700,1.35839
18800,1.37928
18900,1.397
19000,1.41543
19100,1.43566
19200,1.45573
19300,1.47615
19400,1.4938
19500,1.51432
19600,1.53285
19700,1.55013
19800,1.57301
19900,1.59441
20000,1.61553
20100,1.639
20200,1.66051
20300,1.67999
20400,1.7015
20500,1.72244
20600,1.74201
20700,1.76298
20800,1.78434
20900,1.80683
21000,1.82727
21100,1.84748
21200,1.8703
21300,1.89433
21400,1.91785
21500,1.94076
21600,1.96561
21700,1.9901
21800,2.01003
21900,2.03321
22000,2.05524
22100,2.07754
22200,2.10144
22300,2.12268
22400,2.14546
22500,2.16768
22600,2.19324
22700,2.21603
