n,time(seconds)
100,1.84E-05
200,4.73E-05
300,6.72E-05
400,8.72E-05
500,0.000106735
600,0.000126069
700,0.000145001
800,0.000164024
900,0.000182971
1000,0.000202175
1100,0.000244201
1200,0.000272617
1300,0.000294046
1400,0.000313392
1500,0.000332444
1600,0.000351171
1700,0.000370223
1800,0.000389723
1900,0.000408815
2000,0.000428105
2100,0.000446977
2200,0.000465962
2300,0.000484938
2400,0.000503997
2500,0.000522724
2600,0.000541903
2700,0.000561174
2800,0.000580221
2900,0.00059932
3000,0.000618511
3100,0.000637731
3200,0.000656786
3300,0.000675969
3400,0.000694664
3500,0.000713653
3600,0.000732786
3700,0.000751986
3800,0.000771153
3900,0.000789769
4000,0.000825828
4100,0.000853029
4200,0.000877387
4300,0.000897413
4400,0.000920662
4500,0.000944961
4600,0.000969439
4700,0.000989538
4800,0.00101671
4900,0.00104137
5000,0.00106554
5100,0.00108956
5200,0.00110957
5300,0.00113287
5400,0.00115734
5500,0.00118084
5600,0.00120108
5700,0.0012447
5800,0.0012789
5900,0.00130575
6000,0.00133007
6100,0.00135041
6200,0.00137394
6300,0.00139795
6400,0.00142244
6500,0.00144268
6600,0.00146836
6700,0.0014926
6800,0.00151665
6900,0.00154067
7000,0.00156076
7100,0.00158379
7200,0.001613
7300,0.00163699
7400,0.00166112
7500,0.001681
7600,0.00170405
7700,0.00172788
7800,0.00175253
7900,0.00177257
8000,0.00179644
8100,0.00182132
8200,0.00185257
8300,0.00188091
8400,0.00190137
8500,0.00192553
8600,0.00194992
8700,0.00197426
8800,0.00199399
8900,0.0020179
9000,0.00204294
9100,0.00206761
9200,0.00209203
9300,0.00211203
9400,0.00213576
9500,0.00216003
9600,0.00218448
9700,0.00220459
9800,0.0022477
9900,0.00228154
10000,0.00230674
10100,0.00233476
10200,0.00235571
10300,0.00237995
10400,0.00240504
10500,0.0024302
10600,0.00245535
10700,0.00247555
10800,0.00249959
10900,0.00252458
11000,0.00254924
11100,0.00256949
11200,0.00259317
11300,0.00261825
11400,0.00264846
11500,0.00267323
11600,0.00269395
11700,0.00272442
11800,0.00274928
11900,0.00277677
12000,0.00279742
12100,0.0028213
12200,0.00284592
12300,0.00287085
12400,0.00290326
12500,0.00292436
12600,0.0029487
12700,0.00297364
12800,0.00299841
12900,0.00301881
13000,0.00304275
13100,0.00306787
13200,0.00309283
13300,0.00312345
13400,0.00314372
13500,0.00316878
13600,0.00319332
13700,0.00323666
13800,0.0032823
13900,0.003308
14000,0.00333315
14100,0.00335783
14200,0.00338244
14300,0.00340238
14400,0.0034267
14500,0.0034513
14600,0.00347673
14700,0.00350233
14800,0.00352252
14900,0.00354675
15000,0.00357136
15100,0.00359605
15200,0.00361625
15300,0.0036403
15400,0.00366589
15500,0.00369305
15600,0.00372657
15700,0.00374687
15800,0.00377065
15900,0.003796
16000,0.0038248
16100,0.00384485
16200,0.0038691
16300,0.00389453
16400,0.00391949
16500,0.00394568
16600,0.00396595
16700,0.0039961
16800,0.00402195
16900,0.00404645
17000,0.00407105
17100,0.00409107
17200,0.00411528
