n,time(seconds)
100,1.0043e-05
200,6.1626e-05
300,7.7021e-05
400,9.3624e-05
500,0.000107498
600,0.000118815
700,0.000131914
800,0.000145591
900,0.000159285
1000,0.000172905
1100,0.000183907
1200,0.00019731
1300,0.000211133
1400,0.0002249
1500,0.000235799
1600,0.000248948
1700,0.000263738
1800,0.000277035
1900,0.00029058
2000,0.000301496
2100,0.000314544
2200,0.000328033
2300,0.000341043
2400,0.000354229
2500,0.000364901
2600,0.000378392
2700,0.000391355
2800,0.000404767
2900,0.000415674
3000,0.000428282
3100,0.000441687
3200,0.000455124
3300,0.000468706
3400,0.000479626
3500,0.000493958
3600,0.00051266
3700,0.000526478
3800,0.000537227
3900,0.000549591
4000,0.000573349
4100,0.000588261
4200,0.000601339
4300,0.000611982
4400,0.000627228
4500,0.000640891
4600,0.000654477
4700,0.00066545
4800,0.000678932
4900,0.000692764
5000,0.000706702
5100,0.000720254
5200,0.00073132
5300,0.00074573
5400,0.000759338
5500,0.000772982
5600,0.000783957
5700,0.000797146
5800,0.000810545
5900,0.00082435
6000,0.00083794
6100,0.000849006
6200,0.000862027
6300,0.000875538
6400,0.000888786
6500,0.000901981
6600,0.000912677
6700,0.000925953
6800,0.000939762
6900,0.000953186
7000,0.00096402
7100,0.00097808
7200,0.000991969
7300,0.00100544
7400,0.00101893
7500,0.00103
7600,0.00104294
7700,0.00105611
7800,0.00107346
7900,0.00108496
8000,0.00109769
8100,0.00111078
8200,0.0011241
8300,0.00113984
8400,0.00115098
8500,0.00116401
8600,0.00117747
8700,0.00119078
8800,0.0012016
8900,0.00121544
9000,0.00122883
9100,0.00124237
9200,0.00125603
9300,0.00126692
9400,0.00128
9500,0.00129421
9600,0.00130832
9700,0.00132163
9800,0.00133247
9900,0.00134551
10000,0.00135982
10100,0.00137331
10200,0.00138418
10300,0.00139714
10400,0.00141063
10500,0.0014242
10600,0.0014392
10700,0.00145042
10800,0.00146398
10900,0.00147752
11000,0.0014913
11100,0.00150222
11200,0.00151521
11300,0.00152874
11400,0.00154227
11500,0.0015558
11600,0.00157382
11700,0.00158736
11800,0.00160118
11900,0.00161578
12000,0.00162683
12100,0.00164312
12200,0.00165715
12300,0.00167385
12400,0.00168896
12500,0.00170019
12600,0.00171331
12700,0.00172759
12800,0.00174118
12900,0.00175471
13000,0.0017655
13100,0.00177906
13200,0.0017926
13300,0.00180619
13400,0.00181712
13500,0.0018299
13600,0.00184331
13700,0.00185677
13800,0.00187036
13900,0.00188129
14000,0.00189433
14100,0.00190792
14200,0.001923
14300,0.00193396
14400,0.00194684
14500,0.00196032
14600,0.00197363
14700,0.00198725
14800,0.00199814
14900,0.00201082
15000,0.00202416
15100,0.00203709
15200,0.00204782
15300,0.00206086
15400,0.0020744
15500,0.00208857
15600,0.00210175
15700,0.0021128
15800,0.00212543
15900,0.00213873
16000,0.00215346
16100,0.0021669
16200,0.00217752
16300,0.00219685
16400,0.00221067
16500,0.00222379
16600,0.00223461
16700,0.00224701
16800,0.00226053
16900,0.00227348
17000,0.00228679
17100,0.00229759
17200,0.0023105
17300,0.00232352
17400,0.00233662
17500,0.00234747
17600,0.00236027
17700,0.00237402
17800,0.00238853
17900,0.0024021
18000,0.00241294
18100,0.00242578
18200,0.00243921
18300,0.00245237
18400,0.00246328
18500,0.00247621
18600,0.00248969
18700,0.00250263
18800,0.00251571
18900,0.00252645
19000,0.00253902
19100,0.00255253
19200,0.00257127
19300,0.00258548
19400,0.00259651
19500,0.00260965
19600,0.00262404
19700,0.00263772
19800,0.00264859
19900,0.0026613
20000,0.00267458
20100,0.00268827
20200,0.00270392
20300,0.00271503
20400,0.00272784
20500,0.00274427
20600,0.00275769
20700,0.00276851
20800,0.00278159
20900,0.00279978
21000,0.00281522
21100,0.00282882
21200,0.00283966
21300,0.00285257
21400,0.00286707
21500,0.00288029
21600,0.00289148
21700,0.00290441
21800,0.0029174
21900,0.00293075
22000,0.00294435
22100,0.00295502
22200,0.00296772
22300,0.00298066
22400,0.00299372
22500,0.00300666
22600,0.00301754
22700,0.00303019
22800,0.00304338
22900,0.00305669
23000,0.00306744
23100,0.00308011
23200,0.00309475
23300,0.00310828
23400,0.00312161
23500,0.00313235
23600,0.00314534
23700,0.00315865
23800,0.00317248
23900,0.00318317
24000,0.00319613
24100,0.00320944
24200,0.00322597
24300,0.00323988
24400,0.00325084
24500,0.00326344
24600,0.0032798
24700,0.00329725
24800,0.00330873
24900,0.00332341
25000,0.00333647
25100,0.00334972
25200,0.00336288
25300,0.0033737
25400,0.00338616
25500,0.00339931
25600,0.00341267
25700,0.00342605
25800,0.00343677
25900,0.00344972
26000,0.0034631
26100,0.00347665
26200,0.00348753
26300,0.00350106
26400,0.00351421
26500,0.00352745
26600,0.00354232
26700,0.00355331
26800,0.00357197
26900,0.00358598
27000,0.00359964
27100,0.00361057
27200,0.00362337
27300,0.00363688
27400,0.00365012
27500,0.00366375
27600,0.0036746
27700,0.00368778
27800,0.00370131
27900,0.00371465
28000,0.00372539
28100,0.00374273
28200,0.00375588
28300,0.0037701
28400,0.00378487
28500,0.00379582
28600,0.00380843
28700,0.00382184
28800,0.00383498
28900,0.00385154
29000,0.00386266
29100,0.00388116
29200,0.00391389
29300,0.00394625
29400,0.00397043
29500,0.00399788
29600,0.00402071
29700,0.00403748
29800,0.00405112
29900,0.00406222
30000,0.00407581
30100,0.00408928
30200,0.00410504
30300,0.00411632
30400,0.00413015
30500,0.00414363
30600,0.00415715
30700,0.00417088
30800,0.00418197
30900,0.00419484
31000,0.00420806
31100,0.00422171
31200,0.00423286
31300,0.00424556
31400,0.00425981
31500,0.00427281
31600,0.0042867
31700,0.00429779
31800,0.00431068
31900,0.00432415
32000,0.00434174
32100,0.00435595
32200,0.00436701
32300,0.00437971
32400,0.00439318
32500,0.00440651
32600,0.00441738
32700,0.00443106
32800,0.00444453
32900,0.00445797
33000,0.00447148
33100,0.00448232
33200,0.00449934
33300,0.00451345
33400,0.00452697
33500,0.00453818
33600,0.00455107
33700,0.0045716
33800,0.00458769
33900,0.00460123
34000,0.00461219
34100,0.00462482
34200,0.00463797
34300,0.00465165
34400,0.00466266
34500,0.00467579
34600,0.00468899
34700,0.0047027
34800,0.00471623
34900,0.0047272
35000,0.0047399
35100,0.0047531
35200,0.00476683
35300,0.00478068
35400,0.00479144
35500,0.00480792
35600,0.00482501
35700,0.00483849
35800,0.00484947
35900,0.00486255
36000,0.00487893
36100,0.00489259
36200,0.00490551
36300,0.00491616
36400,0.00492948
36500,0.00494296
36600,0.00495641
36700,0.00496749
36800,0.00498035
36900,0.00499367
37000,0.00500744
37100,0.00502107
37200,0.00503201
37300,0.00504496
37400,0.00506307
37500,0.00507748
37600,0.00508847
37700,0.00510126
37800,0.00511452
37900,0.00512813
38000,0.00514286
38100,0.00515395
38200,0.00516696
38300,0.0051805
38400,0.00519404
38500,0.00520744
38600,0.00521825
38700,0.00523129
38800,0.00524469
38900,0.00525797
39000,0.00526898
39100,0.00528174
39200,0.00529631
39300,0.00530967
39400,0.00532316
39500,0.00533401
39600,0.00534695
39700,0.00536035
39800,0.00537394
39900,0.00538488
40000,0.00540076
40100,0.00541445
40200,0.00542786
40300,0.00544158
40400,0.00545252
40500,0.00546557
40600,0.00547916
40700,0.00549296
40800,0.00550389
40900,0.00551698
41000,0.0055314
41100,0.00554537
