n, bubble, merge, heap, quick, radix
100,2.7e-05,1.91e-05,1.93e-05,0.0001108,1.31e-05,
200,0.0001088,2.94e-05,4.25e-05,0.000223,2.37e-05,
300,0.0002526,5.83e-05,6.88e-05,0.0003412,3.45e-05,
400,0.0004451,5.98e-05,9.81e-05,0.0004656,4.67e-05,
500,0.0007178,7.69e-05,0.0001225,0.0010979,0.0001141,
600,0.0014789,0.0001202,0.0001816,0.0008585,7.93e-05,
700,0.0013872,0.0001586,0.0002686,0.0011812,0.0001182,
800,0.0019341,0.0001902,0.0003152,0.0014185,0.0001347,
900,0.0029275,0.0003462,0.0004771,0.0021521,0.0001812,
1000,0.0041461,0.0003207,0.0005363,0.0024296,0.0002273,
1100,0.0054784,0.0003514,0.0005948,0.0027062,0.0002492,
1200,0.0059122,0.0003605,0.000676,0.0029321,0.0002782,
1300,0.0068987,0.000504,0.0007609,0.0031622,0.0002962,
1400,0.007708,0.0004207,0.0008781,0.0035745,0.0003281,
1500,0.0087977,0.0004488,0.0008488,0.0043021,0.0004856,
1600,0.0100964,0.0004847,0.0009105,0.0039581,0.0003579,
1700,0.0117647,0.0005328,0.0009812,0.0041876,0.0003794,
1800,0.013709,0.0006871,0.0010989,0.0045024,0.0003991,
1900,0.0213138,0.0006159,0.0011149,0.0046174,0.0004199,
2000,0.0162199,0.0006369,0.0011915,0.0050301,0.0004414,
2100,0.0196088,0.0006507,0.0012728,0.0052156,0.0004631,
2200,0.0210096,0.000669,0.0013305,0.0053623,0.0004488,
2300,0.0200301,0.0007177,0.001479,0.0055946,0.0005061,
2400,0.0212548,0.0007656,0.0014516,0.0060623,0.0005284,
2500,0.0253917,0.0007928,0.0015291,0.0064622,0.0005205,
2600,0.0265808,0.0008175,0.001579,0.0070909,0.0005943,
2700,0.029325,0.000861,0.0016372,0.0067189,0.0006239,
2800,0.0325473,0.000935,0.0017099,0.0074434,0.000621,
2900,0.0361181,0.0011703,0.0018762,0.0078721,0.0006744,
3000,0.0389703,0.0009518,0.0018562,0.0078951,0.0006587,
3100,0.0401697,0.0009887,0.0019526,0.0077779,0.0006799,
3200,0.0422599,0.001036,0.0020228,0.0080033,0.0007053,
3300,0.0443386,0.0008422,0.0017241,0.0083335,0.0006622,
3400,0.0532798,0.0011085,0.0021791,0.0085181,0.0007528,
3500,0.0469705,0.0011482,0.0022017,0.0086635,0.0007735,
3600,0.056699,0.0011629,0.0022667,0.0092654,0.0008003,
3700,0.0596504,0.0012074,0.0025419,0.0094954,0.0008534,
3800,0.061659,0.0012384,0.0024064,0.0099229,0.0008919,
3900,0.0630101,0.0012914,0.0024683,0.0097504,0.0009318,
4000,0.0704049,0.0013075,0.0025413,0.0103739,0.0008874,
4100,0.0727637,0.0013372,0.0026139,0.0106304,0.0008926,
4200,0.0764204,0.001392,0.0026828,0.0109481,0.0009267,
4300,0.0802581,0.0014227,0.002752,0.0110704,0.000946,
4400,0.0853944,0.0014605,0.0028313,0.0112291,0.0009671,
4500,0.10767,0.0018005,0.0031305,0.0082717,0.0008822,
4600,0.0870071,0.0015282,0.0031942,0.0118721,0.0010199,
4700,0.102897,0.00158,0.0030466,0.0133317,0.0015928,
4800,0.105357,0.0018643,0.0031922,0.0123574,0.0010571,
4900,0.10984,0.0016464,0.0031927,0.0126951,0.0010767,
5000,0.120321,0.0017055,0.0032816,0.012646,0.0011039,
5100,0.122089,0.0016975,0.0033291,0.0129638,0.0011251,
5200,0.125831,0.0017407,0.0034125,0.0133717,0.0011456,
5300,0.128318,0.0017808,0.0035533,0.0136041,0.0011697,
5400,0.135484,0.0018182,0.0035595,0.0144911,0.0011895,
5500,0.13225,0.0018663,0.0036304,0.0143397,0.0012134,
5600,0.140899,0.0019647,0.0037436,0.0145835,0.0012352,
5700,0.152703,0.0019946,0.0037608,0.0150199,0.0012533,
5800,0.158769,0.0020632,0.0039107,0.0148785,0.0012733,
5900,0.163432,0.0020857,0.0039176,0.0265854,0.0050538,
6000,0.170639,0.0021277,0.0040027,0.015318,0.0013188,
6100,0.173773,0.0021498,0.0040719,0.015892,0.0013386,
6200,0.18321,0.0022065,0.0041395,0.016369,0.001362,
6300,0.192717,0.0022622,0.0038754,0.0164205,0.0013952,
6400,0.193495,0.0022968,0.0043601,0.0167843,0.0014057,
6500,0.205643,0.0023607,0.0043679,0.0173273,0.0015177,
6600,0.214252,0.002396,0.0044345,0.0169652,0.0015107,
6700,0.219749,0.002438,0.0045126,0.0177339,0.0014732,
6800,0.232219,0.0024225,0.0045887,0.0178836,0.0015221,
6900,0.233365,0.0024597,0.0048597,0.0178268,0.0014839,
7000,0.259346,0.0025478,0.0047313,0.0187377,0.0015369,
7100,0.250822,0.0025182,0.0048102,0.0182856,0.0015617,
7200,0.258144,0.0025431,0.0049019,0.0192756,0.0015848,
7300,0.265158,0.0025917,0.004968,0.0190335,0.0016065,
7400,0.273502,0.0026467,0.0050436,0.0199307,0.0016228,
7500,0.302758,0.0026838,0.0051356,0.0194054,0.0016675,
7600,0.296995,0.0027139,0.0075644,0.0205885,0.0016701,
7700,0.304842,0.0028247,0.0052716,0.0205755,0.0016911,
7800,0.313895,0.0028546,0.0070624,0.0212619,0.0017245,
7900,0.316878,0.0028701,0.0054296,0.0209411,0.0017363,
8000,0.330059,0.0028765,0.0055064,0.0220518,0.001755,
8100,0.337831,0.002901,0.0055921,0.0218964,0.0017734,
8200,0.350264,0.0029226,0.0057237,0.021507,0.0018027,
8300,0.355151,0.0029731,0.0057512,0.0219904,0.0018211,
8400,0.363573,0.0030332,0.0058033,0.0221669,0.0018455,
8500,0.372344,0.0030908,0.0059979,0.0227592,0.0018646,
8600,0.383805,0.0032177,0.0058281,0.0227497,0.0018865,
8700,0.393923,0.0031544,0.0060421,0.023084,0.0019043,
8800,0.40397,0.0032392,0.006115,0.0229437,0.0019515,
