n, bubble, merge, heap, quick, radix
100,3.48e-05,2.34e-05,2.79e-05,0.0004729,9.6e-06,
200,0.0001283,2.76e-05,6.08e-05,0.002144,2.86e-05,
300,0.0003379,0.0001775,0.00011,0.0040404,3.77e-05,
400,0.0008577,6.76e-05,0.0001798,0.0073774,7.3e-05,
500,0.0021904,0.0001933,0.0004118,0.0140749,9.54e-05,
600,0.0027262,0.0001746,0.0003665,0.0182573,0.0001138,
700,0.0027098,0.0001527,0.0004207,0.0223389,0.0001225,
800,0.0035683,0.000199,0.0004871,0.0296709,0.0002077,
900,0.0054801,0.0001976,0.0005965,0.0363684,0.0001553,
1000,0.0055921,0.0003524,0.0006332,0.0441051,0.0001727,
1100,0.0068801,0.0002763,0.0006936,0.0452288,0.0002056,
1200,0.006095,0.0002108,0.0006124,0.0434866,0.0002154,
1300,0.0078963,0.0002735,0.0007704,0.068363,0.0003137,
1400,0.0098947,0.0002854,0.0008444,0.0823722,0.0003123,
1500,0.0117752,0.0003119,0.0008387,0.0694713,0.0002687,
1600,0.0112245,0.0002886,0.0008922,0.0835691,0.0002837,
1700,0.0112847,0.0003057,0.0009214,0.0944677,0.0003011,
1800,0.0120883,0.0003222,0.0009584,0.104371,0.0003184,
1900,0.0154761,0.0003478,0.0010086,0.113203,0.0003378,
2000,0.0171468,0.0003611,0.0010635,0.124265,0.0003768,
2100,0.0180843,0.0003607,0.0011557,0.140127,0.0003719,
2200,0.0198762,0.0004045,0.0011893,0.153249,0.0003923,
2300,0.0225719,0.0004192,0.0012469,0.166905,0.0004067,
2400,0.023946,0.0003356,0.0012798,0.181288,0.0004246,
2500,0.0215265,0.000307,0.0009841,0.193946,0.0004422,
2600,0.0296985,0.000481,0.0014643,0.214185,0.0004588,
2700,0.0301091,0.0005221,0.001557,0.227028,0.0004798,
2800,0.0329716,0.0005221,0.0015818,0.243455,0.000494,
2900,0.0367125,0.0005406,0.0016156,0.260763,0.0005126,
3000,0.0383236,0.0005618,0.0016705,0.278531,0.0005286,
3100,0.0413033,0.0005837,0.0017417,0.296632,0.0005467,
3200,0.0440541,0.0006196,0.0018126,0.315441,0.000564,
3300,0.0468365,0.0006271,0.0019648,0.334581,0.0005813,
3400,0.0495665,0.0006481,0.0019077,0.355475,0.0005987,
3500,0.0487715,0.0006652,0.0020052,0.375909,0.000717,
3600,0.0549985,0.0006821,0.0020472,0.397519,0.0006342,
3700,0.0593713,0.0007325,0.0020943,0.420815,0.0006514,
3800,0.0642131,0.0007272,0.002183,0.442143,0.0006685,
3900,0.0645055,0.0007759,0.0022096,0.465883,0.0007214,
4000,0.0677682,0.0008472,0.0023059,0.488342,0.0007051,
4100,0.0698156,0.000785,0.0023408,0.512967,0.0007211,
4200,0.0735839,0.0008111,0.0024049,0.536632,0.0008185,
4300,0.0794551,0.0008683,0.0024702,0.562031,0.0007564,
4400,0.0820949,0.0008439,0.0025197,0.587677,0.0007751,
4500,0.0853492,0.0008749,0.0025928,0.614014,0.0007931,
4600,0.0893721,0.0008823,0.0026778,0.643266,0.0008097,
4700,0.0943993,0.0009103,0.0026312,0.667856,0.0008274,
4800,0.0937458,0.0009328,0.0028554,0.696203,0.0008477,
4900,0.102136,0.0009888,0.0028468,0.727469,0.0008639,
5000,0.104365,0.0009703,0.0029136,0.754925,0.0008807,
5100,0.118356,0.0010167,0.0029782,0.790774,0.0008981,
5200,0.116316,0.001026,0.0030442,0.815743,0.0009157,
5300,0.121205,0.0010455,0.0031053,0.84655,0.0009312,
