n, bubble, merge, heap, quick, radix
100,2.21e-05,2.65e-05,2.47e-05,0.0004838,9.6e-06,
200,7.55e-05,3.12e-05,8.85e-05,0.0017028,3.1e-05,
300,0.0001925,6.7e-05,9.97e-05,0.003433,3.73e-05,
400,0.0004997,6.9e-05,0.0001773,0.0066466,6.2e-05,
500,0.0009018,0.000203,0.0003672,0.0134717,9.74e-05,
600,0.0201732,0.0002106,0.0005007,0.0261553,0.0001721,
700,0.0017361,0.0001637,0.0004483,0.0294144,0.0001667,
800,0.00251,0.0002239,0.0006989,0.0321724,0.0001536,
900,0.0029078,0.0002125,0.0005726,0.039177,0.0001697,
1000,0.0033688,0.0002937,0.000642,0.0428607,0.0001378,
1100,0.0030886,0.0002781,0.000346,0.0408671,0.000198,
1200,0.0036091,0.0002114,0.0005778,0.0492947,0.0002157,
1300,0.003325,0.0001521,0.0006661,0.0572197,0.0002395,
1400,0.0050103,0.0004302,0.0008924,0.0859462,0.0003048,
1500,0.0062833,0.0002843,0.0008512,0.0792038,0.0002872,
1600,0.006571,0.0003085,0.0007903,0.0842073,0.0002872,
1700,0.0071949,0.0003719,0.0008641,0.0940414,0.0003037,
1800,0.0071106,0.0002095,0.0006212,0.103199,0.0003208,
1900,0.00846,0.0003431,0.0009584,0.116745,0.0003372,
2000,0.0082555,0.0003625,0.0010209,0.127966,0.0003544,
2100,0.0100125,0.0003837,0.0010994,0.140232,0.0003722,
2200,0.0118187,0.0004114,0.0011519,0.15131,0.0003896,
2300,0.0118304,0.0003717,0.0010882,0.167056,0.0004065,
2400,0.0145795,0.0004768,0.0008263,0.177298,0.0004245,
2500,0.012982,0.0004626,0.0008568,0.193165,0.0004412,
2600,0.0165995,0.0004824,0.001375,0.211078,0.000458,
2700,0.0154993,0.0005025,0.0014953,0.227014,0.0004772,
2800,0.019636,0.0005172,0.0015221,0.243835,0.0004949,
2900,0.0175481,0.0005426,0.0015424,0.260895,0.0005114,
3000,0.0221266,0.0005741,0.0015885,0.278547,0.0005302,
3100,0.0218978,0.0006089,0.0022476,0.297773,0.0005474,
3200,0.0204057,0.0003928,0.0011918,0.313113,0.0005654,
3300,0.0268441,0.0006261,0.001798,0.341206,0.0005823,
3400,0.0268347,0.0006455,0.0018298,0.355968,0.0005995,
3500,0.028146,0.0006683,0.0019661,0.375142,0.0006172,
3600,0.0306065,0.0006764,0.0019932,0.397373,0.0006355,
3700,0.0346279,0.0006996,0.0020149,0.419205,0.0006841,
3800,0.0349675,0.0007288,0.0020942,0.441427,0.0006734,
3900,0.0340115,0.0007719,0.0021507,0.464091,0.0006872,
4000,0.0384518,0.0007591,0.0021961,0.486354,0.0007032,
4100,0.039984,0.0008083,0.0021828,0.511714,0.0007253,
4200,0.0423371,0.0008589,0.0021921,0.536797,0.0007759,
4300,0.0399885,0.0007805,0.0023593,0.560982,0.0007575,
4400,0.045509,0.0008807,0.0024625,0.588846,0.0007763,
4500,0.0477584,0.0008196,0.002365,0.614403,0.0007965,
4600,0.0485251,0.0008876,0.0026037,0.564967,0.0006408,
4700,0.0325239,0.0005089,0.0014483,0.666034,0.000829,
4800,0.0568845,0.000944,0.0026824,0.704047,0.0008655,
4900,0.0574641,0.0009599,0.0027314,0.726791,0.000866,
5000,0.0560086,0.0006247,0.0017291,0.748143,0.0008811,
5100,0.0602233,0.0009873,0.0027515,0.774709,0.0009002,
5200,0.062563,0.0010109,0.0028236,0.814784,0.0009218,
5300,0.0595889,0.0010668,0.0029667,0.84703,0.0009348,
5400,0.0723813,0.0010646,0.0030312,0.876752,0.0009512,
5500,0.061549,0.0008073,0.0024634,0.907342,0.0009709,
5600,0.0771376,0.0011699,0.0032064,0.937458,0.000992,
5700,0.0768393,0.0012128,0.0032238,0.97573,0.0010044,
5800,0.0789389,0.0012923,0.0032823,1.00835,0.0009967,
5900,0.0857477,0.001259,0.0034022,1.04092,0.0010389,
6000,0.0991668,0.0019808,0.0054719,1.08431,0.0011099,
6100,0.0936613,0.0013545,0.0034489,1.11622,0.0010827,
6200,0.0886353,0.0013349,0.0035177,1.15101,0.001091,
6300,0.0967705,0.0014232,0.0035816,1.18814,0.0011168,
6400,0.0985009,0.0014256,0.0036551,1.22411,0.0011323,
6500,0.101286,0.001412,0.0037365,1.26173,0.0011481,
6600,0.106323,0.0014098,0.0037155,1.30225,0.0011624,
6700,0.101817,0.0014826,0.0038883,1.34223,0.0011786,
6800,0.109644,0.001432,0.0039047,1.38247,0.0011981,
6900,0.116124,0.0014605,0.0039943,1.42272,0.0012142,
7000,0.118892,0.0014711,0.0040791,1.46198,0.0012534,
7100,0.121838,0.0014868,0.0041604,1.50712,0.0011709,
7200,0.122932,0.0015029,0.0041484,1.54667,0.0012669,
7300,0.130274,0.0015351,0.0042189,1.58957,0.001281,
7400,0.13302,0.0015599,0.0042872,1.63137,0.0013014,
7500,0.137396,0.0015787,0.0043732,1.6793,0.001318,
7600,0.141746,0.0016041,0.0044224,1.71567,0.0013424,
7700,0.135274,0.0016236,0.0045014,1.7685,0.0013596,
7800,0.149105,0.0016558,0.0045534,1.84291,0.0013706,
7900,0.151488,0.0016728,0.0046202,1.85422,0.0013898,
8000,0.155842,0.0017157,0.004664,1.90735,0.0013776,
8100,0.161621,0.0017043,0.0047314,1.95087,0.0014296,
8200,0.162886,0.0017209,0.0048167,1.9953,0.0014417,
8300,0.168918,0.0018148,0.0048509,2.04879,0.0014603,
8400,0.172502,0.0017785,0.0049194,2.10139,0.0014848,
8500,0.178776,0.0018057,0.0050019,2.14244,0.0015037,
8600,0.175796,0.001875,0.0050028,2.1891,0.0015534,
8700,0.18136,0.0018579,0.0051794,2.25495,0.0015595,
8800,0.183929,0.0018859,0.0051814,2.30585,0.0015539,
8900,0.193407,0.0019509,0.0053312,2.34745,0.0015703,
9000,0.200451,0.0019382,0.0053158,2.40525,0.0016287,
9100,0.197916,0.0020219,0.0054499,2.46936,0.0016465,
